group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Lexer,boids.wgsl,,,1164600.0,ns,4
Lexer,Lexer,boids.wgsl,,,2168900.0,ns,8
Lexer,Lexer,boids.wgsl,,,3496700.0,ns,12
Lexer,Lexer,boids.wgsl,,,5934900.0,ns,16
Lexer,Lexer,boids.wgsl,,,5566500.0,ns,20
Lexer,Lexer,boids.wgsl,,,6493800.0,ns,24
Lexer,Lexer,boids.wgsl,,,7750500.0,ns,28
Lexer,Lexer,boids.wgsl,,,8671800.0,ns,32
Lexer,Lexer,boids.wgsl,,,9794300.0,ns,36
Lexer,Lexer,boids.wgsl,,,10860600.0,ns,40
Lexer,Lexer,boids.wgsl,,,12023800.0,ns,44
Lexer,Lexer,boids.wgsl,,,12964200.0,ns,48
Lexer,Lexer,boids.wgsl,,,14129500.0,ns,52
Lexer,Lexer,boids.wgsl,,,15360200.0,ns,56
Lexer,Lexer,boids.wgsl,,,16475600.0,ns,60
Lexer,Lexer,boids.wgsl,,,17543100.0,ns,64
Lexer,Lexer,boids.wgsl,,,18420500.0,ns,68
Lexer,Lexer,boids.wgsl,,,19550200.0,ns,72
Lexer,Lexer,boids.wgsl,,,20579400.0,ns,76
Lexer,Lexer,boids.wgsl,,,21703200.0,ns,80
Lexer,Lexer,boids.wgsl,,,29068100.0,ns,84
Lexer,Lexer,boids.wgsl,,,34462300.0,ns,88
Lexer,Lexer,boids.wgsl,,,36139700.0,ns,92
Lexer,Lexer,boids.wgsl,,,38583800.0,ns,96
Lexer,Lexer,boids.wgsl,,,39567600.0,ns,100
Lexer,Lexer,boids.wgsl,,,41151700.0,ns,104
Lexer,Lexer,boids.wgsl,,,32877200.0,ns,108
Lexer,Lexer,boids.wgsl,,,31140900.0,ns,112
Lexer,Lexer,boids.wgsl,,,32000500.0,ns,116
Lexer,Lexer,boids.wgsl,,,32397100.0,ns,120
Lexer,Lexer,boids.wgsl,,,33120900.0,ns,124
Lexer,Lexer,boids.wgsl,,,34509800.0,ns,128
Lexer,Lexer,boids.wgsl,,,35101800.0,ns,132
Lexer,Lexer,boids.wgsl,,,35965700.0,ns,136
Lexer,Lexer,boids.wgsl,,,36862400.0,ns,140
Lexer,Lexer,boids.wgsl,,,38166800.0,ns,144
Lexer,Lexer,boids.wgsl,,,39069100.0,ns,148
Lexer,Lexer,boids.wgsl,,,40119600.0,ns,152
Lexer,Lexer,boids.wgsl,,,41173500.0,ns,156
Lexer,Lexer,boids.wgsl,,,42520900.0,ns,160
Lexer,Lexer,boids.wgsl,,,43780700.0,ns,164
Lexer,Lexer,boids.wgsl,,,44631800.0,ns,168
Lexer,Lexer,boids.wgsl,,,45216600.0,ns,172
Lexer,Lexer,boids.wgsl,,,46175900.0,ns,176
Lexer,Lexer,boids.wgsl,,,47169200.0,ns,180
Lexer,Lexer,boids.wgsl,,,48409500.0,ns,184
Lexer,Lexer,boids.wgsl,,,56486000.0,ns,188
Lexer,Lexer,boids.wgsl,,,50380600.0,ns,192
Lexer,Lexer,boids.wgsl,,,52001800.0,ns,196
Lexer,Lexer,boids.wgsl,,,52919200.0,ns,200
Lexer,Lexer,boids.wgsl,,,54005800.0,ns,204
Lexer,Lexer,boids.wgsl,,,55567600.0,ns,208
Lexer,Lexer,boids.wgsl,,,55941300.0,ns,212
Lexer,Lexer,boids.wgsl,,,56826100.0,ns,216
Lexer,Lexer,boids.wgsl,,,58307900.0,ns,220
Lexer,Lexer,boids.wgsl,,,58986200.0,ns,224
Lexer,Lexer,boids.wgsl,,,60972800.0,ns,228
Lexer,Lexer,boids.wgsl,,,62194100.0,ns,232
Lexer,Lexer,boids.wgsl,,,62769600.0,ns,236
Lexer,Lexer,boids.wgsl,,,64418100.0,ns,240
Lexer,Lexer,boids.wgsl,,,64598900.0,ns,244
Lexer,Lexer,boids.wgsl,,,66548600.0,ns,248
Lexer,Lexer,boids.wgsl,,,67093700.0,ns,252
Lexer,Lexer,boids.wgsl,,,69991400.0,ns,256
Lexer,Lexer,boids.wgsl,,,70759900.0,ns,260
Lexer,Lexer,boids.wgsl,,,71138000.0,ns,264
Lexer,Lexer,boids.wgsl,,,72571200.0,ns,268
Lexer,Lexer,boids.wgsl,,,73930200.0,ns,272
Lexer,Lexer,boids.wgsl,,,74629100.0,ns,276
Lexer,Lexer,boids.wgsl,,,76813900.0,ns,280
Lexer,Lexer,boids.wgsl,,,77224200.0,ns,284
Lexer,Lexer,boids.wgsl,,,78075500.0,ns,288
Lexer,Lexer,boids.wgsl,,,78597000.0,ns,292
Lexer,Lexer,boids.wgsl,,,79597300.0,ns,296
Lexer,Lexer,boids.wgsl,,,79496400.0,ns,300
Lexer,Lexer,boids.wgsl,,,80472100.0,ns,304
Lexer,Lexer,boids.wgsl,,,85865400.0,ns,308
Lexer,Lexer,boids.wgsl,,,100112700.0,ns,312
Lexer,Lexer,boids.wgsl,,,88910800.0,ns,316
Lexer,Lexer,boids.wgsl,,,84127100.0,ns,320
Lexer,Lexer,boids.wgsl,,,85297700.0,ns,324
Lexer,Lexer,boids.wgsl,,,86235500.0,ns,328
Lexer,Lexer,boids.wgsl,,,86982800.0,ns,332
Lexer,Lexer,boids.wgsl,,,88345100.0,ns,336
Lexer,Lexer,boids.wgsl,,,89755800.0,ns,340
Lexer,Lexer,boids.wgsl,,,90875000.0,ns,344
Lexer,Lexer,boids.wgsl,,,92132000.0,ns,348
Lexer,Lexer,boids.wgsl,,,94234600.0,ns,352
Lexer,Lexer,boids.wgsl,,,94084600.0,ns,356
Lexer,Lexer,boids.wgsl,,,96396100.0,ns,360
Lexer,Lexer,boids.wgsl,,,97890100.0,ns,364
Lexer,Lexer,boids.wgsl,,,99698000.0,ns,368
Lexer,Lexer,boids.wgsl,,,100730700.0,ns,372
Lexer,Lexer,boids.wgsl,,,105122000.0,ns,376
Lexer,Lexer,boids.wgsl,,,102894500.0,ns,380
Lexer,Lexer,boids.wgsl,,,116189300.0,ns,384
Lexer,Lexer,boids.wgsl,,,106203000.0,ns,388
Lexer,Lexer,boids.wgsl,,,132572700.0,ns,392
Lexer,Lexer,boids.wgsl,,,118711300.0,ns,396
Lexer,Lexer,boids.wgsl,,,104670200.0,ns,400
