group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Lexer,shader.wgsl,,,1010800.0,ns,5
Lexer,Lexer,shader.wgsl,,,1992500.0,ns,10
Lexer,Lexer,shader.wgsl,,,2980200.0,ns,15
Lexer,Lexer,shader.wgsl,,,4041300.0,ns,20
Lexer,Lexer,shader.wgsl,,,5200500.0,ns,25
Lexer,Lexer,shader.wgsl,,,6134900.0,ns,30
Lexer,Lexer,shader.wgsl,,,7208900.0,ns,35
Lexer,Lexer,shader.wgsl,,,8177400.0,ns,40
Lexer,Lexer,shader.wgsl,,,9401900.0,ns,45
Lexer,Lexer,shader.wgsl,,,10538600.0,ns,50
Lexer,Lexer,shader.wgsl,,,11371400.0,ns,55
Lexer,Lexer,shader.wgsl,,,12540000.0,ns,60
Lexer,Lexer,shader.wgsl,,,13511600.0,ns,65
Lexer,Lexer,shader.wgsl,,,14465400.0,ns,70
Lexer,Lexer,shader.wgsl,,,15560000.0,ns,75
Lexer,Lexer,shader.wgsl,,,24144400.0,ns,80
Lexer,Lexer,shader.wgsl,,,26367000.0,ns,85
Lexer,Lexer,shader.wgsl,,,27778000.0,ns,90
Lexer,Lexer,shader.wgsl,,,29285100.0,ns,95
Lexer,Lexer,shader.wgsl,,,31013900.0,ns,100
Lexer,Lexer,shader.wgsl,,,28491200.0,ns,105
Lexer,Lexer,shader.wgsl,,,22930800.0,ns,110
Lexer,Lexer,shader.wgsl,,,23574600.0,ns,115
Lexer,Lexer,shader.wgsl,,,24363700.0,ns,120
Lexer,Lexer,shader.wgsl,,,25514000.0,ns,125
Lexer,Lexer,shader.wgsl,,,26578200.0,ns,130
Lexer,Lexer,shader.wgsl,,,27480300.0,ns,135
Lexer,Lexer,shader.wgsl,,,28535900.0,ns,140
Lexer,Lexer,shader.wgsl,,,29643900.0,ns,145
Lexer,Lexer,shader.wgsl,,,30470800.0,ns,150
Lexer,Lexer,shader.wgsl,,,31794100.0,ns,155
Lexer,Lexer,shader.wgsl,,,33513000.0,ns,160
Lexer,Lexer,shader.wgsl,,,33740400.0,ns,165
Lexer,Lexer,shader.wgsl,,,34988900.0,ns,170
Lexer,Lexer,shader.wgsl,,,35712800.0,ns,175
Lexer,Lexer,shader.wgsl,,,36799800.0,ns,180
Lexer,Lexer,shader.wgsl,,,38193600.0,ns,185
Lexer,Lexer,shader.wgsl,,,39810900.0,ns,190
