group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Lexer,shadow.wgsl,,,1157600.0,ns,4
Lexer,Lexer,shadow.wgsl,,,2207300.0,ns,8
Lexer,Lexer,shadow.wgsl,,,3367700.0,ns,12
Lexer,Lexer,shadow.wgsl,,,4491500.0,ns,16
Lexer,Lexer,shadow.wgsl,,,5455500.0,ns,20
Lexer,Lexer,shadow.wgsl,,,6681600.0,ns,24
Lexer,Lexer,shadow.wgsl,,,7643400.0,ns,28
Lexer,Lexer,shadow.wgsl,,,8876000.0,ns,32
Lexer,Lexer,shadow.wgsl,,,9798100.0,ns,36
Lexer,Lexer,shadow.wgsl,,,10947900.0,ns,40
Lexer,Lexer,shadow.wgsl,,,12065400.0,ns,44
Lexer,Lexer,shadow.wgsl,,,13123300.0,ns,48
Lexer,Lexer,shadow.wgsl,,,14338700.0,ns,52
Lexer,Lexer,shadow.wgsl,,,15399900.0,ns,56
Lexer,Lexer,shadow.wgsl,,,16395400.0,ns,60
Lexer,Lexer,shadow.wgsl,,,17712600.0,ns,64
Lexer,Lexer,shadow.wgsl,,,18764200.0,ns,68
Lexer,Lexer,shadow.wgsl,,,19944800.0,ns,72
Lexer,Lexer,shadow.wgsl,,,20964200.0,ns,76
Lexer,Lexer,shadow.wgsl,,,22197500.0,ns,80
Lexer,Lexer,shadow.wgsl,,,23310400.0,ns,84
Lexer,Lexer,shadow.wgsl,,,24213300.0,ns,88
Lexer,Lexer,shadow.wgsl,,,25936800.0,ns,92
Lexer,Lexer,shadow.wgsl,,,26941800.0,ns,96
Lexer,Lexer,shadow.wgsl,,,27960300.0,ns,100
Lexer,Lexer,shadow.wgsl,,,29131100.0,ns,104
Lexer,Lexer,shadow.wgsl,,,30221600.0,ns,108
Lexer,Lexer,shadow.wgsl,,,31855500.0,ns,112
Lexer,Lexer,shadow.wgsl,,,32392800.0,ns,116
Lexer,Lexer,shadow.wgsl,,,33496400.0,ns,120
Lexer,Lexer,shadow.wgsl,,,34678600.0,ns,124
Lexer,Lexer,shadow.wgsl,,,35175600.0,ns,128
Lexer,Lexer,shadow.wgsl,,,36544600.0,ns,132
Lexer,Lexer,shadow.wgsl,,,37290300.0,ns,136
Lexer,Lexer,shadow.wgsl,,,43073200.0,ns,140
Lexer,Lexer,shadow.wgsl,,,42144800.0,ns,144
Lexer,Lexer,shadow.wgsl,,,41083400.0,ns,148
Lexer,Lexer,shadow.wgsl,,,42156000.0,ns,152
Lexer,Lexer,shadow.wgsl,,,43349500.0,ns,156
Lexer,Lexer,shadow.wgsl,,,44728200.0,ns,160
Lexer,Lexer,shadow.wgsl,,,45453700.0,ns,164
Lexer,Lexer,shadow.wgsl,,,46702700.0,ns,168
Lexer,Lexer,shadow.wgsl,,,47234100.0,ns,172
Lexer,Lexer,shadow.wgsl,,,48083900.0,ns,176
Lexer,Lexer,shadow.wgsl,,,49072300.0,ns,180
Lexer,Lexer,shadow.wgsl,,,50354300.0,ns,184
Lexer,Lexer,shadow.wgsl,,,51672700.0,ns,188
Lexer,Lexer,shadow.wgsl,,,52645000.0,ns,192
Lexer,Lexer,shadow.wgsl,,,54068100.0,ns,196
Lexer,Lexer,shadow.wgsl,,,55917500.0,ns,200
Lexer,Lexer,shadow.wgsl,,,56896900.0,ns,204
Lexer,Lexer,shadow.wgsl,,,57623700.0,ns,208
Lexer,Lexer,shadow.wgsl,,,58613400.0,ns,212
Lexer,Lexer,shadow.wgsl,,,59640500.0,ns,216
Lexer,Lexer,shadow.wgsl,,,70969000.0,ns,220
Lexer,Lexer,shadow.wgsl,,,64377600.0,ns,224
Lexer,Lexer,shadow.wgsl,,,67656200.0,ns,228
Lexer,Lexer,shadow.wgsl,,,66809300.0,ns,232
Lexer,Lexer,shadow.wgsl,,,67382300.0,ns,236
