group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Lexer,Lexer,water.wgsl,,,1802700.0,ns,2
Lexer,Lexer,water.wgsl,,,3289100.0,ns,4
Lexer,Lexer,water.wgsl,,,5033900.0,ns,6
Lexer,Lexer,water.wgsl,,,6689100.0,ns,8
Lexer,Lexer,water.wgsl,,,8368400.0,ns,10
Lexer,Lexer,water.wgsl,,,10069200.0,ns,12
Lexer,Lexer,water.wgsl,,,11553300.0,ns,14
Lexer,Lexer,water.wgsl,,,13286600.0,ns,16
Lexer,Lexer,water.wgsl,,,14958800.0,ns,18
Lexer,Lexer,water.wgsl,,,16579400.0,ns,20
Lexer,Lexer,water.wgsl,,,18244400.0,ns,22
Lexer,Lexer,water.wgsl,,,20149200.0,ns,24
Lexer,Lexer,water.wgsl,,,22016700.0,ns,26
Lexer,Lexer,water.wgsl,,,23385000.0,ns,28
Lexer,Lexer,water.wgsl,,,24571300.0,ns,30
Lexer,Lexer,water.wgsl,,,26406600.0,ns,32
Lexer,Lexer,water.wgsl,,,27809900.0,ns,34
Lexer,Lexer,water.wgsl,,,41059900.0,ns,36
Lexer,Lexer,water.wgsl,,,44351700.0,ns,38
Lexer,Lexer,water.wgsl,,,39447900.0,ns,40
Lexer,Lexer,water.wgsl,,,45702300.0,ns,42
Lexer,Lexer,water.wgsl,,,36962900.0,ns,44
Lexer,Lexer,water.wgsl,,,38002300.0,ns,46
Lexer,Lexer,water.wgsl,,,39739900.0,ns,48
Lexer,Lexer,water.wgsl,,,41221900.0,ns,50
Lexer,Lexer,water.wgsl,,,42842600.0,ns,52
Lexer,Lexer,water.wgsl,,,44838800.0,ns,54
Lexer,Lexer,water.wgsl,,,46188300.0,ns,56
Lexer,Lexer,water.wgsl,,,47771200.0,ns,58
Lexer,Lexer,water.wgsl,,,49669400.0,ns,60
Lexer,Lexer,water.wgsl,,,51152400.0,ns,62
Lexer,Lexer,water.wgsl,,,52993300.0,ns,64
Lexer,Lexer,water.wgsl,,,54339700.0,ns,66
Lexer,Lexer,water.wgsl,,,56096900.0,ns,68
Lexer,Lexer,water.wgsl,,,57467900.0,ns,70
Lexer,Lexer,water.wgsl,,,59198900.0,ns,72
Lexer,Lexer,water.wgsl,,,60275900.0,ns,74
Lexer,Lexer,water.wgsl,,,64619500.0,ns,76
Lexer,Lexer,water.wgsl,,,65885900.0,ns,78
Lexer,Lexer,water.wgsl,,,67780100.0,ns,80
Lexer,Lexer,water.wgsl,,,68972100.0,ns,82
Lexer,Lexer,water.wgsl,,,70372100.0,ns,84
Lexer,Lexer,water.wgsl,,,72936900.0,ns,86
Lexer,Lexer,water.wgsl,,,74601900.0,ns,88
Lexer,Lexer,water.wgsl,,,76773300.0,ns,90
Lexer,Lexer,water.wgsl,,,78668500.0,ns,92
Lexer,Lexer,water.wgsl,,,80848100.0,ns,94
Lexer,Lexer,water.wgsl,,,83013400.0,ns,96
Lexer,Lexer,water.wgsl,,,84521500.0,ns,98
Lexer,Lexer,water.wgsl,,,85111900.0,ns,100
Lexer,Lexer,water.wgsl,,,89890500.0,ns,102
Lexer,Lexer,water.wgsl,,,108935300.0,ns,104
Lexer,Lexer,water.wgsl,,,90911600.0,ns,106
Lexer,Lexer,water.wgsl,,,90058500.0,ns,108
Lexer,Lexer,water.wgsl,,,91672600.0,ns,110
Lexer,Lexer,water.wgsl,,,93224900.0,ns,112
Lexer,Lexer,water.wgsl,,,94743800.0,ns,114
Lexer,Lexer,water.wgsl,,,105472600.0,ns,116
Lexer,Lexer,water.wgsl,,,99062000.0,ns,118
Lexer,Lexer,water.wgsl,,,99847000.0,ns,120
Lexer,Lexer,water.wgsl,,,101897200.0,ns,122
Lexer,Lexer,water.wgsl,,,103480700.0,ns,124
Lexer,Lexer,water.wgsl,,,104169400.0,ns,126
Lexer,Lexer,water.wgsl,,,107806500.0,ns,128
Lexer,Lexer,water.wgsl,,,108977400.0,ns,130
Lexer,Lexer,water.wgsl,,,109781900.0,ns,132
Lexer,Lexer,water.wgsl,,,110914900.0,ns,134
Lexer,Lexer,water.wgsl,,,114409900.0,ns,136
Lexer,Lexer,water.wgsl,,,116253400.0,ns,138
Lexer,Lexer,water.wgsl,,,117787900.0,ns,140
Lexer,Lexer,water.wgsl,,,169780300.0,ns,142
Lexer,Lexer,water.wgsl,,,130576900.0,ns,144
Lexer,Lexer,water.wgsl,,,121474200.0,ns,146
Lexer,Lexer,water.wgsl,,,123313700.0,ns,148
Lexer,Lexer,water.wgsl,,,137155400.0,ns,150
Lexer,Lexer,water.wgsl,,,127213600.0,ns,152
Lexer,Lexer,water.wgsl,,,127763900.0,ns,154
Lexer,Lexer,water.wgsl,,,135071200.0,ns,156
Lexer,Lexer,water.wgsl,,,130282300.0,ns,158
Lexer,Lexer,water.wgsl,,,133156600.0,ns,160
Lexer,Lexer,water.wgsl,,,135027900.0,ns,162
Lexer,Lexer,water.wgsl,,,138629400.0,ns,164
Lexer,Lexer,water.wgsl,,,139629000.0,ns,166
Lexer,Lexer,water.wgsl,,,140607200.0,ns,168
Lexer,Lexer,water.wgsl,,,151378700.0,ns,170
Lexer,Lexer,water.wgsl,,,186407500.0,ns,172
Lexer,Lexer,water.wgsl,,,152376300.0,ns,174
Lexer,Lexer,water.wgsl,,,149546800.0,ns,176
Lexer,Lexer,water.wgsl,,,151742400.0,ns,178
Lexer,Lexer,water.wgsl,,,149544100.0,ns,180
Lexer,Lexer,water.wgsl,,,151810100.0,ns,182
Lexer,Lexer,water.wgsl,,,159161600.0,ns,184
Lexer,Lexer,water.wgsl,,,170118000.0,ns,186
Lexer,Lexer,water.wgsl,,,156854700.0,ns,188
