group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parsing,Parser v1 (AST),boids.wgsl,,,47237000.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,46920400.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47311000.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47370300.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,46961300.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,46871500.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47374400.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,46865600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,46947400.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47178600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47570800.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47521500.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48254300.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48634700.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,49291500.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,49238800.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48756100.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48480700.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48349800.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48897800.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48586800.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,49274700.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48496400.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48517600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47617200.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47855500.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48047700.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47597000.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47907200.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47742900.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48976100.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,61822500.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,72425200.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,81571600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,61995300.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,49496600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48649800.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47868000.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47611000.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47260600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48065600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47745300.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47774300.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48038600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48089800.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48037200.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48081700.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47935300.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47825000.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47879000.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48575000.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,54159100.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47477300.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47998800.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47822000.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47744000.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47723600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48198900.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48646300.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48334600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,49200900.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48312100.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48604600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48697100.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48250300.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47448000.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48705700.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48322400.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48350700.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47728700.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47893300.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48498400.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,51447100.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,65328900.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,65249400.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48571400.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,49119400.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,50332700.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,50226200.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,50170500.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,50605400.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,50164700.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,50228100.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,49917300.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48843500.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48848400.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,49175400.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,49305900.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48541100.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48708200.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,49116900.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,69638400.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,85339800.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,62261600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48356700.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48061600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48772600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,48712600.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47599100.0,ns,19
Parsing,Parser v1 (AST),boids.wgsl,,,47635100.0,ns,19
