group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parsing,Parser v1 (AST),shader.wgsl,,,48557400.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47837300.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47938600.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47938600.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48117500.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48030900.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48120100.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47958500.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47712100.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48385900.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,56509700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49717900.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49932700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,50721900.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,50756200.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,79857000.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,83784300.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,59071700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,50247700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49870700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49792300.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48774600.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47597500.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47968700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47391200.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47717200.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48418900.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49151800.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49294500.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49292200.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49617100.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49776800.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49135800.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48420700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,80757700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,72032800.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,50299900.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48578500.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48659000.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48755100.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48702700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48849600.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49207800.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48325700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48396000.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48711000.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48130200.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47552600.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47958700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47708100.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47895700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47558100.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,47623300.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,56901100.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,52607700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,79346600.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,51134100.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,56441200.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,51488200.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,50249200.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,63456000.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49716200.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48475600.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48851800.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49308500.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48326500.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48352000.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48624100.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48185500.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48351300.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49057200.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49423800.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,69409000.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,68470400.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49453300.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49425100.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,49152200.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48670600.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48581200.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48425400.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48566300.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48581100.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48337300.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48207000.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48281000.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48556900.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48936000.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48155300.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48149900.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48846600.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48260700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48041000.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,52633300.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,50364200.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,58873500.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48348700.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48413600.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48508800.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48573100.0,ns,24
Parsing,Parser v1 (AST),shader.wgsl,,,48553900.0,ns,24
