group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parsing,Parser v1 (AST),shadow.wgsl,,,48402900.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,48397900.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,48943000.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,48944500.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,49061500.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,48194200.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,47991600.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,48429600.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,49911800.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,48871300.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,49499700.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,50030000.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,54952600.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,49276000.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,49448100.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,49185200.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,49134900.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,48314800.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,48071900.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,48018200.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,47815700.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,47739700.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,47834700.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,47960000.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,48084700.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,47833300.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,48954900.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,50116900.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,58033100.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,81047500.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,77130300.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,49771100.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,50707300.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,49459600.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,48479700.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,47512400.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,47954300.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,49982300.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,49288400.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,60531300.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,50314000.0,ns,19
Parsing,Parser v1 (AST),shadow.wgsl,,,48328500.0,ns,19
