group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parsing,Parser v1 (AST),water.wgsl,,,80915700.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,82051200.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,53349000.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,53569500.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,62794700.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,55569800.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52483000.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,53526500.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52487500.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51730800.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51579600.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51491300.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51125100.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,68734300.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,84653200.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52317800.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52442400.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51688500.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51004500.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,50976300.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52059800.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52819300.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,53217300.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,62909400.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51042600.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51284500.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51965200.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52421600.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52332500.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52742900.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52765400.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,64684500.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,54173500.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,87413300.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51949000.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51303300.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51380500.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52520000.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52533000.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52193100.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52547000.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52746700.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,81331300.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,56982200.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52681700.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,54031500.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52805300.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52931400.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,65032500.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,79739700.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,57181900.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,53021100.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52559000.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51645000.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51663100.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51739200.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51786800.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52003900.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51475000.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51934800.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52662200.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,58983100.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,56937800.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52291800.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,52171300.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,51952200.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,61488600.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,62283800.0,ns,2
Parsing,Parser v1 (AST),water.wgsl,,,69487700.0,ns,2
