group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parsing,Parser v1 (raw),boids.wgsl,,,1176000.0,ns,7
Parsing,Parser v1 (raw),boids.wgsl,,,1922800.0,ns,14
Parsing,Parser v1 (raw),boids.wgsl,,,2875900.0,ns,21
Parsing,Parser v1 (raw),boids.wgsl,,,3909300.0,ns,28
Parsing,Parser v1 (raw),boids.wgsl,,,4744000.0,ns,35
Parsing,Parser v1 (raw),boids.wgsl,,,5621500.0,ns,42
Parsing,Parser v1 (raw),boids.wgsl,,,6483500.0,ns,49
Parsing,Parser v1 (raw),boids.wgsl,,,7426600.0,ns,56
Parsing,Parser v1 (raw),boids.wgsl,,,8393800.0,ns,63
Parsing,Parser v1 (raw),boids.wgsl,,,9235600.0,ns,70
Parsing,Parser v1 (raw),boids.wgsl,,,10142400.0,ns,77
Parsing,Parser v1 (raw),boids.wgsl,,,12725900.0,ns,84
Parsing,Parser v1 (raw),boids.wgsl,,,15274300.0,ns,91
Parsing,Parser v1 (raw),boids.wgsl,,,28026600.0,ns,98
Parsing,Parser v1 (raw),boids.wgsl,,,13993700.0,ns,105
Parsing,Parser v1 (raw),boids.wgsl,,,14577600.0,ns,112
Parsing,Parser v1 (raw),boids.wgsl,,,15826900.0,ns,119
Parsing,Parser v1 (raw),boids.wgsl,,,16735100.0,ns,126
Parsing,Parser v1 (raw),boids.wgsl,,,17313500.0,ns,133
Parsing,Parser v1 (raw),boids.wgsl,,,18029300.0,ns,140
Parsing,Parser v1 (raw),boids.wgsl,,,19242300.0,ns,147
Parsing,Parser v1 (raw),boids.wgsl,,,19862200.0,ns,154
Parsing,Parser v1 (raw),boids.wgsl,,,20867000.0,ns,161
Parsing,Parser v1 (raw),boids.wgsl,,,21726100.0,ns,168
Parsing,Parser v1 (raw),boids.wgsl,,,22583500.0,ns,175
Parsing,Parser v1 (raw),boids.wgsl,,,23576700.0,ns,182
Parsing,Parser v1 (raw),boids.wgsl,,,24674800.0,ns,189
Parsing,Parser v1 (raw),boids.wgsl,,,25343900.0,ns,196
Parsing,Parser v1 (raw),boids.wgsl,,,30773000.0,ns,203
Parsing,Parser v1 (raw),boids.wgsl,,,30940600.0,ns,210
Parsing,Parser v1 (raw),boids.wgsl,,,42906800.0,ns,217
Parsing,Parser v1 (raw),boids.wgsl,,,47185800.0,ns,224
Parsing,Parser v1 (raw),boids.wgsl,,,36386900.0,ns,231
Parsing,Parser v1 (raw),boids.wgsl,,,31991700.0,ns,238
Parsing,Parser v1 (raw),boids.wgsl,,,31848300.0,ns,245
Parsing,Parser v1 (raw),boids.wgsl,,,32625500.0,ns,252
Parsing,Parser v1 (raw),boids.wgsl,,,33395700.0,ns,259
Parsing,Parser v1 (raw),boids.wgsl,,,34385600.0,ns,266
Parsing,Parser v1 (raw),boids.wgsl,,,35200900.0,ns,273
Parsing,Parser v1 (raw),boids.wgsl,,,36056700.0,ns,280
Parsing,Parser v1 (raw),boids.wgsl,,,37062400.0,ns,287
Parsing,Parser v1 (raw),boids.wgsl,,,38781700.0,ns,294
Parsing,Parser v1 (raw),boids.wgsl,,,39008300.0,ns,301
Parsing,Parser v1 (raw),boids.wgsl,,,40062100.0,ns,308
Parsing,Parser v1 (raw),boids.wgsl,,,40782300.0,ns,315
Parsing,Parser v1 (raw),boids.wgsl,,,41682600.0,ns,322
Parsing,Parser v1 (raw),boids.wgsl,,,42665300.0,ns,329
Parsing,Parser v1 (raw),boids.wgsl,,,44367500.0,ns,336
Parsing,Parser v1 (raw),boids.wgsl,,,45001900.0,ns,343
Parsing,Parser v1 (raw),boids.wgsl,,,45568200.0,ns,350
Parsing,Parser v1 (raw),boids.wgsl,,,46958400.0,ns,357
Parsing,Parser v1 (raw),boids.wgsl,,,47592000.0,ns,364
Parsing,Parser v1 (raw),boids.wgsl,,,48982000.0,ns,371
Parsing,Parser v1 (raw),boids.wgsl,,,50880700.0,ns,378
Parsing,Parser v1 (raw),boids.wgsl,,,51801300.0,ns,385
Parsing,Parser v1 (raw),boids.wgsl,,,53994100.0,ns,392
Parsing,Parser v1 (raw),boids.wgsl,,,53427500.0,ns,399
