group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parsing,Parser v1 (raw),shader.wgsl,,,1115400.0,ns,9
Parsing,Parser v1 (raw),shader.wgsl,,,1776400.0,ns,18
Parsing,Parser v1 (raw),shader.wgsl,,,2668000.0,ns,27
Parsing,Parser v1 (raw),shader.wgsl,,,3458900.0,ns,36
Parsing,Parser v1 (raw),shader.wgsl,,,4263000.0,ns,45
Parsing,Parser v1 (raw),shader.wgsl,,,5140300.0,ns,54
Parsing,Parser v1 (raw),shader.wgsl,,,6072400.0,ns,63
Parsing,Parser v1 (raw),shader.wgsl,,,6776400.0,ns,72
Parsing,Parser v1 (raw),shader.wgsl,,,7709200.0,ns,81
Parsing,Parser v1 (raw),shader.wgsl,,,8491500.0,ns,90
Parsing,Parser v1 (raw),shader.wgsl,,,10294500.0,ns,99
Parsing,Parser v1 (raw),shader.wgsl,,,10233500.0,ns,108
Parsing,Parser v1 (raw),shader.wgsl,,,11233900.0,ns,117
Parsing,Parser v1 (raw),shader.wgsl,,,13852000.0,ns,126
Parsing,Parser v1 (raw),shader.wgsl,,,13245200.0,ns,135
Parsing,Parser v1 (raw),shader.wgsl,,,14289900.0,ns,144
Parsing,Parser v1 (raw),shader.wgsl,,,15296800.0,ns,153
Parsing,Parser v1 (raw),shader.wgsl,,,15560400.0,ns,162
Parsing,Parser v1 (raw),shader.wgsl,,,16281000.0,ns,171
Parsing,Parser v1 (raw),shader.wgsl,,,17110900.0,ns,180
Parsing,Parser v1 (raw),shader.wgsl,,,18255400.0,ns,189
Parsing,Parser v1 (raw),shader.wgsl,,,18902700.0,ns,198
Parsing,Parser v1 (raw),shader.wgsl,,,19696300.0,ns,207
Parsing,Parser v1 (raw),shader.wgsl,,,20644700.0,ns,216
Parsing,Parser v1 (raw),shader.wgsl,,,21447600.0,ns,225
Parsing,Parser v1 (raw),shader.wgsl,,,22362700.0,ns,234
Parsing,Parser v1 (raw),shader.wgsl,,,23293400.0,ns,243
Parsing,Parser v1 (raw),shader.wgsl,,,24090700.0,ns,252
Parsing,Parser v1 (raw),shader.wgsl,,,24931700.0,ns,261
Parsing,Parser v1 (raw),shader.wgsl,,,25933600.0,ns,270
Parsing,Parser v1 (raw),shader.wgsl,,,26677500.0,ns,279
