group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parsing,Parser v1 (raw),shadow.wgsl,,,949600.0,ns,8
Parsing,Parser v1 (raw),shadow.wgsl,,,1878600.0,ns,16
Parsing,Parser v1 (raw),shadow.wgsl,,,2800400.0,ns,24
Parsing,Parser v1 (raw),shadow.wgsl,,,3784000.0,ns,32
Parsing,Parser v1 (raw),shadow.wgsl,,,4679000.0,ns,40
Parsing,Parser v1 (raw),shadow.wgsl,,,5614400.0,ns,48
Parsing,Parser v1 (raw),shadow.wgsl,,,6684400.0,ns,56
Parsing,Parser v1 (raw),shadow.wgsl,,,7443400.0,ns,64
Parsing,Parser v1 (raw),shadow.wgsl,,,8355000.0,ns,72
Parsing,Parser v1 (raw),shadow.wgsl,,,9304900.0,ns,80
Parsing,Parser v1 (raw),shadow.wgsl,,,10343100.0,ns,88
Parsing,Parser v1 (raw),shadow.wgsl,,,11354900.0,ns,96
Parsing,Parser v1 (raw),shadow.wgsl,,,12460200.0,ns,104
Parsing,Parser v1 (raw),shadow.wgsl,,,13000900.0,ns,112
Parsing,Parser v1 (raw),shadow.wgsl,,,19132100.0,ns,120
Parsing,Parser v1 (raw),shadow.wgsl,,,23426600.0,ns,128
Parsing,Parser v1 (raw),shadow.wgsl,,,24913200.0,ns,136
Parsing,Parser v1 (raw),shadow.wgsl,,,26484600.0,ns,144
Parsing,Parser v1 (raw),shadow.wgsl,,,28157500.0,ns,152
Parsing,Parser v1 (raw),shadow.wgsl,,,20856700.0,ns,160
Parsing,Parser v1 (raw),shadow.wgsl,,,20235500.0,ns,168
Parsing,Parser v1 (raw),shadow.wgsl,,,20899700.0,ns,176
Parsing,Parser v1 (raw),shadow.wgsl,,,21965700.0,ns,184
Parsing,Parser v1 (raw),shadow.wgsl,,,22457800.0,ns,192
Parsing,Parser v1 (raw),shadow.wgsl,,,23912500.0,ns,200
Parsing,Parser v1 (raw),shadow.wgsl,,,25786300.0,ns,208
Parsing,Parser v1 (raw),shadow.wgsl,,,25992500.0,ns,216
Parsing,Parser v1 (raw),shadow.wgsl,,,26513900.0,ns,224
Parsing,Parser v1 (raw),shadow.wgsl,,,27612800.0,ns,232
Parsing,Parser v1 (raw),shadow.wgsl,,,28518100.0,ns,240
Parsing,Parser v1 (raw),shadow.wgsl,,,30067200.0,ns,248
Parsing,Parser v1 (raw),shadow.wgsl,,,30929300.0,ns,256
Parsing,Parser v1 (raw),shadow.wgsl,,,31469400.0,ns,264
Parsing,Parser v1 (raw),shadow.wgsl,,,32457800.0,ns,272
Parsing,Parser v1 (raw),shadow.wgsl,,,33367000.0,ns,280
Parsing,Parser v1 (raw),shadow.wgsl,,,34110500.0,ns,288
Parsing,Parser v1 (raw),shadow.wgsl,,,34315500.0,ns,296
Parsing,Parser v1 (raw),shadow.wgsl,,,35236000.0,ns,304
Parsing,Parser v1 (raw),shadow.wgsl,,,36769100.0,ns,312
Parsing,Parser v1 (raw),shadow.wgsl,,,37403400.0,ns,320
Parsing,Parser v1 (raw),shadow.wgsl,,,37734300.0,ns,328
Parsing,Parser v1 (raw),shadow.wgsl,,,38753200.0,ns,336
Parsing,Parser v1 (raw),shadow.wgsl,,,40007200.0,ns,344
Parsing,Parser v1 (raw),shadow.wgsl,,,40860300.0,ns,352
Parsing,Parser v1 (raw),shadow.wgsl,,,41988800.0,ns,360
Parsing,Parser v1 (raw),shadow.wgsl,,,42553600.0,ns,368
Parsing,Parser v1 (raw),shadow.wgsl,,,47623700.0,ns,376
Parsing,Parser v1 (raw),shadow.wgsl,,,60817800.0,ns,384
Parsing,Parser v1 (raw),shadow.wgsl,,,71269000.0,ns,392
Parsing,Parser v1 (raw),shadow.wgsl,,,54674100.0,ns,400
Parsing,Parser v1 (raw),shadow.wgsl,,,47226900.0,ns,408
Parsing,Parser v1 (raw),shadow.wgsl,,,48074000.0,ns,416
Parsing,Parser v1 (raw),shadow.wgsl,,,48836100.0,ns,424
Parsing,Parser v1 (raw),shadow.wgsl,,,49946200.0,ns,432
Parsing,Parser v1 (raw),shadow.wgsl,,,51413500.0,ns,440
Parsing,Parser v1 (raw),shadow.wgsl,,,52206700.0,ns,448
Parsing,Parser v1 (raw),shadow.wgsl,,,54125300.0,ns,456
Parsing,Parser v1 (raw),shadow.wgsl,,,54559500.0,ns,464
Parsing,Parser v1 (raw),shadow.wgsl,,,55947200.0,ns,472
Parsing,Parser v1 (raw),shadow.wgsl,,,56253700.0,ns,480
Parsing,Parser v1 (raw),shadow.wgsl,,,57184400.0,ns,488
Parsing,Parser v1 (raw),shadow.wgsl,,,58078600.0,ns,496
Parsing,Parser v1 (raw),shadow.wgsl,,,58804800.0,ns,504
Parsing,Parser v1 (raw),shadow.wgsl,,,59700200.0,ns,512
Parsing,Parser v1 (raw),shadow.wgsl,,,64181800.0,ns,520
Parsing,Parser v1 (raw),shadow.wgsl,,,62327200.0,ns,528
Parsing,Parser v1 (raw),shadow.wgsl,,,62700400.0,ns,536
Parsing,Parser v1 (raw),shadow.wgsl,,,63878300.0,ns,544
Parsing,Parser v1 (raw),shadow.wgsl,,,65202300.0,ns,552
Parsing,Parser v1 (raw),shadow.wgsl,,,66006800.0,ns,560
Parsing,Parser v1 (raw),shadow.wgsl,,,66658900.0,ns,568
Parsing,Parser v1 (raw),shadow.wgsl,,,67181500.0,ns,576
Parsing,Parser v1 (raw),shadow.wgsl,,,67234800.0,ns,584
Parsing,Parser v1 (raw),shadow.wgsl,,,72780300.0,ns,592
Parsing,Parser v1 (raw),shadow.wgsl,,,72830500.0,ns,600
Parsing,Parser v1 (raw),shadow.wgsl,,,73514400.0,ns,608
Parsing,Parser v1 (raw),shadow.wgsl,,,73436300.0,ns,616
Parsing,Parser v1 (raw),shadow.wgsl,,,74902700.0,ns,624
Parsing,Parser v1 (raw),shadow.wgsl,,,74205100.0,ns,632
Parsing,Parser v1 (raw),shadow.wgsl,,,81860100.0,ns,640
