group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parsing,Parser v1 (raw),water.wgsl,,,1255000.0,ns,2
Parsing,Parser v1 (raw),water.wgsl,,,2442500.0,ns,4
Parsing,Parser v1 (raw),water.wgsl,,,3619800.0,ns,6
Parsing,Parser v1 (raw),water.wgsl,,,4962100.0,ns,8
Parsing,Parser v1 (raw),water.wgsl,,,6129200.0,ns,10
Parsing,Parser v1 (raw),water.wgsl,,,7507900.0,ns,12
Parsing,Parser v1 (raw),water.wgsl,,,8454400.0,ns,14
Parsing,Parser v1 (raw),water.wgsl,,,9637100.0,ns,16
Parsing,Parser v1 (raw),water.wgsl,,,10931000.0,ns,18
Parsing,Parser v1 (raw),water.wgsl,,,12232700.0,ns,20
Parsing,Parser v1 (raw),water.wgsl,,,13331600.0,ns,22
Parsing,Parser v1 (raw),water.wgsl,,,14540700.0,ns,24
Parsing,Parser v1 (raw),water.wgsl,,,19145000.0,ns,26
Parsing,Parser v1 (raw),water.wgsl,,,17472700.0,ns,28
Parsing,Parser v1 (raw),water.wgsl,,,18585400.0,ns,30
Parsing,Parser v1 (raw),water.wgsl,,,19893700.0,ns,32
Parsing,Parser v1 (raw),water.wgsl,,,21012900.0,ns,34
Parsing,Parser v1 (raw),water.wgsl,,,22212100.0,ns,36
Parsing,Parser v1 (raw),water.wgsl,,,23763500.0,ns,38
Parsing,Parser v1 (raw),water.wgsl,,,24588500.0,ns,40
Parsing,Parser v1 (raw),water.wgsl,,,25291400.0,ns,42
Parsing,Parser v1 (raw),water.wgsl,,,28111400.0,ns,44
Parsing,Parser v1 (raw),water.wgsl,,,29358100.0,ns,46
Parsing,Parser v1 (raw),water.wgsl,,,29466100.0,ns,48
Parsing,Parser v1 (raw),water.wgsl,,,31290200.0,ns,50
Parsing,Parser v1 (raw),water.wgsl,,,32331300.0,ns,52
Parsing,Parser v1 (raw),water.wgsl,,,33571500.0,ns,54
Parsing,Parser v1 (raw),water.wgsl,,,35388500.0,ns,56
Parsing,Parser v1 (raw),water.wgsl,,,36165700.0,ns,58
Parsing,Parser v1 (raw),water.wgsl,,,37222200.0,ns,60
Parsing,Parser v1 (raw),water.wgsl,,,39203300.0,ns,62
Parsing,Parser v1 (raw),water.wgsl,,,39550600.0,ns,64
Parsing,Parser v1 (raw),water.wgsl,,,39644300.0,ns,66
Parsing,Parser v1 (raw),water.wgsl,,,40988800.0,ns,68
Parsing,Parser v1 (raw),water.wgsl,,,42023100.0,ns,70
Parsing,Parser v1 (raw),water.wgsl,,,43360300.0,ns,72
Parsing,Parser v1 (raw),water.wgsl,,,44282100.0,ns,74
Parsing,Parser v1 (raw),water.wgsl,,,45390200.0,ns,76
Parsing,Parser v1 (raw),water.wgsl,,,46875800.0,ns,78
Parsing,Parser v1 (raw),water.wgsl,,,48002200.0,ns,80
Parsing,Parser v1 (raw),water.wgsl,,,49376000.0,ns,82
Parsing,Parser v1 (raw),water.wgsl,,,51256000.0,ns,84
Parsing,Parser v1 (raw),water.wgsl,,,53831700.0,ns,86
Parsing,Parser v1 (raw),water.wgsl,,,64849800.0,ns,88
Parsing,Parser v1 (raw),water.wgsl,,,55577100.0,ns,90
Parsing,Parser v1 (raw),water.wgsl,,,55108800.0,ns,92
Parsing,Parser v1 (raw),water.wgsl,,,56102600.0,ns,94
Parsing,Parser v1 (raw),water.wgsl,,,58731800.0,ns,96
Parsing,Parser v1 (raw),water.wgsl,,,59947900.0,ns,98
Parsing,Parser v1 (raw),water.wgsl,,,61054100.0,ns,100
Parsing,Parser v1 (raw),water.wgsl,,,61768000.0,ns,102
Parsing,Parser v1 (raw),water.wgsl,,,62873000.0,ns,104
Parsing,Parser v1 (raw),water.wgsl,,,63578300.0,ns,106
Parsing,Parser v1 (raw),water.wgsl,,,65091600.0,ns,108
Parsing,Parser v1 (raw),water.wgsl,,,66242300.0,ns,110
Parsing,Parser v1 (raw),water.wgsl,,,67550400.0,ns,112
Parsing,Parser v1 (raw),water.wgsl,,,81537200.0,ns,114
Parsing,Parser v1 (raw),water.wgsl,,,79640200.0,ns,116
Parsing,Parser v1 (raw),water.wgsl,,,75276300.0,ns,118
Parsing,Parser v1 (raw),water.wgsl,,,74125800.0,ns,120
Parsing,Parser v1 (raw),water.wgsl,,,77604100.0,ns,122
Parsing,Parser v1 (raw),water.wgsl,,,74985400.0,ns,124
Parsing,Parser v1 (raw),water.wgsl,,,75557000.0,ns,126
Parsing,Parser v1 (raw),water.wgsl,,,76869300.0,ns,128
Parsing,Parser v1 (raw),water.wgsl,,,77998800.0,ns,130
Parsing,Parser v1 (raw),water.wgsl,,,84551900.0,ns,132
Parsing,Parser v1 (raw),water.wgsl,,,83509800.0,ns,134
Parsing,Parser v1 (raw),water.wgsl,,,85550100.0,ns,136
Parsing,Parser v1 (raw),water.wgsl,,,85900600.0,ns,138
Parsing,Parser v1 (raw),water.wgsl,,,85457000.0,ns,140
Parsing,Parser v1 (raw),water.wgsl,,,94755800.0,ns,142
Parsing,Parser v1 (raw),water.wgsl,,,107184700.0,ns,144
Parsing,Parser v1 (raw),water.wgsl,,,88467200.0,ns,146
Parsing,Parser v1 (raw),water.wgsl,,,88697200.0,ns,148
Parsing,Parser v1 (raw),water.wgsl,,,90177100.0,ns,150
Parsing,Parser v1 (raw),water.wgsl,,,91377800.0,ns,152
Parsing,Parser v1 (raw),water.wgsl,,,94539500.0,ns,154
Parsing,Parser v1 (raw),water.wgsl,,,95822100.0,ns,156
Parsing,Parser v1 (raw),water.wgsl,,,96258700.0,ns,158
Parsing,Parser v1 (raw),water.wgsl,,,96672000.0,ns,160
Parsing,Parser v1 (raw),water.wgsl,,,101577100.0,ns,162
Parsing,Parser v1 (raw),water.wgsl,,,98790800.0,ns,164
Parsing,Parser v1 (raw),water.wgsl,,,100130700.0,ns,166
Parsing,Parser v1 (raw),water.wgsl,,,103505000.0,ns,168
Parsing,Parser v1 (raw),water.wgsl,,,105352100.0,ns,170
Parsing,Parser v1 (raw),water.wgsl,,,104908700.0,ns,172
Parsing,Parser v1 (raw),water.wgsl,,,104614900.0,ns,174
Parsing,Parser v1 (raw),water.wgsl,,,105858300.0,ns,176
Parsing,Parser v1 (raw),water.wgsl,,,106678600.0,ns,178
Parsing,Parser v1 (raw),water.wgsl,,,118543500.0,ns,180
Parsing,Parser v1 (raw),water.wgsl,,,138645300.0,ns,182
Parsing,Parser v1 (raw),water.wgsl,,,114939800.0,ns,184
Parsing,Parser v1 (raw),water.wgsl,,,114146800.0,ns,186
Parsing,Parser v1 (raw),water.wgsl,,,114390700.0,ns,188
Parsing,Parser v1 (raw),water.wgsl,,,115594400.0,ns,190
