group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parsing,Parser v2,boids.wgsl,,,930900.0,ns,2
Parsing,Parser v2,boids.wgsl,,,1642000.0,ns,4
Parsing,Parser v2,boids.wgsl,,,2362000.0,ns,6
Parsing,Parser v2,boids.wgsl,,,3160400.0,ns,8
Parsing,Parser v2,boids.wgsl,,,3921300.0,ns,10
Parsing,Parser v2,boids.wgsl,,,5405900.0,ns,12
Parsing,Parser v2,boids.wgsl,,,5976600.0,ns,14
Parsing,Parser v2,boids.wgsl,,,6578600.0,ns,16
Parsing,Parser v2,boids.wgsl,,,7554400.0,ns,18
Parsing,Parser v2,boids.wgsl,,,7853400.0,ns,20
Parsing,Parser v2,boids.wgsl,,,8832500.0,ns,22
Parsing,Parser v2,boids.wgsl,,,9299300.0,ns,24
Parsing,Parser v2,boids.wgsl,,,10060900.0,ns,26
Parsing,Parser v2,boids.wgsl,,,10910600.0,ns,28
Parsing,Parser v2,boids.wgsl,,,11666600.0,ns,30
Parsing,Parser v2,boids.wgsl,,,12586600.0,ns,32
Parsing,Parser v2,boids.wgsl,,,13177800.0,ns,34
Parsing,Parser v2,boids.wgsl,,,14010500.0,ns,36
Parsing,Parser v2,boids.wgsl,,,14853400.0,ns,38
Parsing,Parser v2,boids.wgsl,,,15926300.0,ns,40
Parsing,Parser v2,boids.wgsl,,,16588300.0,ns,42
Parsing,Parser v2,boids.wgsl,,,17350200.0,ns,44
Parsing,Parser v2,boids.wgsl,,,19655300.0,ns,46
Parsing,Parser v2,boids.wgsl,,,26108600.0,ns,48
Parsing,Parser v2,boids.wgsl,,,27469400.0,ns,50
Parsing,Parser v2,boids.wgsl,,,28704100.0,ns,52
Parsing,Parser v2,boids.wgsl,,,29796700.0,ns,54
Parsing,Parser v2,boids.wgsl,,,32748400.0,ns,56
Parsing,Parser v2,boids.wgsl,,,32315200.0,ns,58
Parsing,Parser v2,boids.wgsl,,,29316300.0,ns,60
Parsing,Parser v2,boids.wgsl,,,24650600.0,ns,62
Parsing,Parser v2,boids.wgsl,,,25434400.0,ns,64
Parsing,Parser v2,boids.wgsl,,,26406700.0,ns,66
Parsing,Parser v2,boids.wgsl,,,27253200.0,ns,68
Parsing,Parser v2,boids.wgsl,,,28009700.0,ns,70
Parsing,Parser v2,boids.wgsl,,,29271100.0,ns,72
Parsing,Parser v2,boids.wgsl,,,29054700.0,ns,74
Parsing,Parser v2,boids.wgsl,,,29857100.0,ns,76
Parsing,Parser v2,boids.wgsl,,,30283600.0,ns,78
Parsing,Parser v2,boids.wgsl,,,35569600.0,ns,80
Parsing,Parser v2,boids.wgsl,,,33535900.0,ns,82
Parsing,Parser v2,boids.wgsl,,,34297300.0,ns,84
Parsing,Parser v2,boids.wgsl,,,35277400.0,ns,86
Parsing,Parser v2,boids.wgsl,,,35186300.0,ns,88
Parsing,Parser v2,boids.wgsl,,,35843800.0,ns,90
Parsing,Parser v2,boids.wgsl,,,38301600.0,ns,92
Parsing,Parser v2,boids.wgsl,,,37556200.0,ns,94
Parsing,Parser v2,boids.wgsl,,,38712000.0,ns,96
Parsing,Parser v2,boids.wgsl,,,39914000.0,ns,98
Parsing,Parser v2,boids.wgsl,,,39648400.0,ns,100
Parsing,Parser v2,boids.wgsl,,,39388800.0,ns,102
Parsing,Parser v2,boids.wgsl,,,40201100.0,ns,104
Parsing,Parser v2,boids.wgsl,,,47483100.0,ns,106
Parsing,Parser v2,boids.wgsl,,,44899300.0,ns,108
Parsing,Parser v2,boids.wgsl,,,42956900.0,ns,110
Parsing,Parser v2,boids.wgsl,,,59249900.0,ns,112
Parsing,Parser v2,boids.wgsl,,,47073500.0,ns,114
Parsing,Parser v2,boids.wgsl,,,44391300.0,ns,116
Parsing,Parser v2,boids.wgsl,,,45313100.0,ns,118
Parsing,Parser v2,boids.wgsl,,,46497500.0,ns,120
Parsing,Parser v2,boids.wgsl,,,47638700.0,ns,122
Parsing,Parser v2,boids.wgsl,,,50225400.0,ns,124
Parsing,Parser v2,boids.wgsl,,,48960500.0,ns,126
Parsing,Parser v2,boids.wgsl,,,50795800.0,ns,128
Parsing,Parser v2,boids.wgsl,,,50986300.0,ns,130
Parsing,Parser v2,boids.wgsl,,,50917500.0,ns,132
Parsing,Parser v2,boids.wgsl,,,53757500.0,ns,134
Parsing,Parser v2,boids.wgsl,,,57889400.0,ns,136
Parsing,Parser v2,boids.wgsl,,,57954000.0,ns,138
Parsing,Parser v2,boids.wgsl,,,59617400.0,ns,140
Parsing,Parser v2,boids.wgsl,,,59149100.0,ns,142
Parsing,Parser v2,boids.wgsl,,,70890200.0,ns,144
Parsing,Parser v2,boids.wgsl,,,60867300.0,ns,146
Parsing,Parser v2,boids.wgsl,,,58568200.0,ns,148
Parsing,Parser v2,boids.wgsl,,,60925700.0,ns,150
Parsing,Parser v2,boids.wgsl,,,62743200.0,ns,152
Parsing,Parser v2,boids.wgsl,,,59709100.0,ns,154
Parsing,Parser v2,boids.wgsl,,,64246000.0,ns,156
Parsing,Parser v2,boids.wgsl,,,65724100.0,ns,158
Parsing,Parser v2,boids.wgsl,,,68252100.0,ns,160
Parsing,Parser v2,boids.wgsl,,,68365800.0,ns,162
Parsing,Parser v2,boids.wgsl,,,67333300.0,ns,164
Parsing,Parser v2,boids.wgsl,,,71350100.0,ns,166
Parsing,Parser v2,boids.wgsl,,,68555200.0,ns,168
Parsing,Parser v2,boids.wgsl,,,70191600.0,ns,170
Parsing,Parser v2,boids.wgsl,,,71379200.0,ns,172
Parsing,Parser v2,boids.wgsl,,,82616500.0,ns,174
Parsing,Parser v2,boids.wgsl,,,91927100.0,ns,176
Parsing,Parser v2,boids.wgsl,,,72004900.0,ns,178
Parsing,Parser v2,boids.wgsl,,,72623300.0,ns,180
Parsing,Parser v2,boids.wgsl,,,70616000.0,ns,182
Parsing,Parser v2,boids.wgsl,,,74744500.0,ns,184
Parsing,Parser v2,boids.wgsl,,,72813200.0,ns,186
Parsing,Parser v2,boids.wgsl,,,75777900.0,ns,188
Parsing,Parser v2,boids.wgsl,,,75581600.0,ns,190
Parsing,Parser v2,boids.wgsl,,,78409300.0,ns,192
Parsing,Parser v2,boids.wgsl,,,76182600.0,ns,194
Parsing,Parser v2,boids.wgsl,,,80986100.0,ns,196
Parsing,Parser v2,boids.wgsl,,,86370400.0,ns,198
Parsing,Parser v2,boids.wgsl,,,87554800.0,ns,200
