group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parsing,Parser v2,shader.wgsl,,,1003300.0,ns,3
Parsing,Parser v2,shader.wgsl,,,1634500.0,ns,6
Parsing,Parser v2,shader.wgsl,,,2395100.0,ns,9
Parsing,Parser v2,shader.wgsl,,,3315400.0,ns,12
Parsing,Parser v2,shader.wgsl,,,4047200.0,ns,15
Parsing,Parser v2,shader.wgsl,,,4920100.0,ns,18
Parsing,Parser v2,shader.wgsl,,,5705500.0,ns,21
Parsing,Parser v2,shader.wgsl,,,6466000.0,ns,24
Parsing,Parser v2,shader.wgsl,,,7346500.0,ns,27
Parsing,Parser v2,shader.wgsl,,,8130700.0,ns,30
Parsing,Parser v2,shader.wgsl,,,8984600.0,ns,33
Parsing,Parser v2,shader.wgsl,,,9735900.0,ns,36
Parsing,Parser v2,shader.wgsl,,,10567100.0,ns,39
Parsing,Parser v2,shader.wgsl,,,11772300.0,ns,42
Parsing,Parser v2,shader.wgsl,,,12314900.0,ns,45
Parsing,Parser v2,shader.wgsl,,,13057700.0,ns,48
Parsing,Parser v2,shader.wgsl,,,13982800.0,ns,51
Parsing,Parser v2,shader.wgsl,,,14602600.0,ns,54
Parsing,Parser v2,shader.wgsl,,,15452300.0,ns,57
Parsing,Parser v2,shader.wgsl,,,16359500.0,ns,60
Parsing,Parser v2,shader.wgsl,,,17113100.0,ns,63
Parsing,Parser v2,shader.wgsl,,,17900300.0,ns,66
Parsing,Parser v2,shader.wgsl,,,18754800.0,ns,69
Parsing,Parser v2,shader.wgsl,,,19511600.0,ns,72
Parsing,Parser v2,shader.wgsl,,,24733700.0,ns,75
Parsing,Parser v2,shader.wgsl,,,22103200.0,ns,78
Parsing,Parser v2,shader.wgsl,,,29550100.0,ns,81
Parsing,Parser v2,shader.wgsl,,,25017000.0,ns,84
Parsing,Parser v2,shader.wgsl,,,23876000.0,ns,87
Parsing,Parser v2,shader.wgsl,,,24153800.0,ns,90
Parsing,Parser v2,shader.wgsl,,,25231200.0,ns,93
Parsing,Parser v2,shader.wgsl,,,26027600.0,ns,96
Parsing,Parser v2,shader.wgsl,,,26683900.0,ns,99
Parsing,Parser v2,shader.wgsl,,,27765800.0,ns,102
Parsing,Parser v2,shader.wgsl,,,28662500.0,ns,105
Parsing,Parser v2,shader.wgsl,,,29242600.0,ns,108
Parsing,Parser v2,shader.wgsl,,,30110400.0,ns,111
Parsing,Parser v2,shader.wgsl,,,32200900.0,ns,114
Parsing,Parser v2,shader.wgsl,,,34394000.0,ns,117
Parsing,Parser v2,shader.wgsl,,,34720600.0,ns,120
Parsing,Parser v2,shader.wgsl,,,35751700.0,ns,123
Parsing,Parser v2,shader.wgsl,,,36748500.0,ns,126
Parsing,Parser v2,shader.wgsl,,,37376400.0,ns,129
Parsing,Parser v2,shader.wgsl,,,37835400.0,ns,132
Parsing,Parser v2,shader.wgsl,,,38894000.0,ns,135
Parsing,Parser v2,shader.wgsl,,,44503600.0,ns,138
Parsing,Parser v2,shader.wgsl,,,41381000.0,ns,141
Parsing,Parser v2,shader.wgsl,,,42244700.0,ns,144
Parsing,Parser v2,shader.wgsl,,,41288400.0,ns,147
Parsing,Parser v2,shader.wgsl,,,42335900.0,ns,150
Parsing,Parser v2,shader.wgsl,,,44633800.0,ns,153
Parsing,Parser v2,shader.wgsl,,,44361700.0,ns,156
Parsing,Parser v2,shader.wgsl,,,45265300.0,ns,159
Parsing,Parser v2,shader.wgsl,,,65906300.0,ns,162
Parsing,Parser v2,shader.wgsl,,,65706900.0,ns,165
Parsing,Parser v2,shader.wgsl,,,62315900.0,ns,168
Parsing,Parser v2,shader.wgsl,,,48766300.0,ns,171
Parsing,Parser v2,shader.wgsl,,,48637500.0,ns,174
Parsing,Parser v2,shader.wgsl,,,47943000.0,ns,177
Parsing,Parser v2,shader.wgsl,,,49181400.0,ns,180
Parsing,Parser v2,shader.wgsl,,,50509800.0,ns,183
Parsing,Parser v2,shader.wgsl,,,51734200.0,ns,186
Parsing,Parser v2,shader.wgsl,,,53537300.0,ns,189
Parsing,Parser v2,shader.wgsl,,,56853300.0,ns,192
Parsing,Parser v2,shader.wgsl,,,55755900.0,ns,195
Parsing,Parser v2,shader.wgsl,,,57041900.0,ns,198
Parsing,Parser v2,shader.wgsl,,,57356600.0,ns,201
Parsing,Parser v2,shader.wgsl,,,59010700.0,ns,204
Parsing,Parser v2,shader.wgsl,,,57377000.0,ns,207
Parsing,Parser v2,shader.wgsl,,,57852100.0,ns,210
Parsing,Parser v2,shader.wgsl,,,67313500.0,ns,213
Parsing,Parser v2,shader.wgsl,,,59911300.0,ns,216
Parsing,Parser v2,shader.wgsl,,,62291600.0,ns,219
Parsing,Parser v2,shader.wgsl,,,60055300.0,ns,222
Parsing,Parser v2,shader.wgsl,,,61436500.0,ns,225
Parsing,Parser v2,shader.wgsl,,,62266300.0,ns,228
Parsing,Parser v2,shader.wgsl,,,63640700.0,ns,231
Parsing,Parser v2,shader.wgsl,,,64984800.0,ns,234
Parsing,Parser v2,shader.wgsl,,,66042400.0,ns,237
Parsing,Parser v2,shader.wgsl,,,66297800.0,ns,240
Parsing,Parser v2,shader.wgsl,,,66866200.0,ns,243
Parsing,Parser v2,shader.wgsl,,,73059500.0,ns,246
Parsing,Parser v2,shader.wgsl,,,71686600.0,ns,249
