group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parsing,Parser v2,shadow.wgsl,,,1772100.0,ns,3
Parsing,Parser v2,shadow.wgsl,,,3219000.0,ns,6
Parsing,Parser v2,shadow.wgsl,,,4736100.0,ns,9
Parsing,Parser v2,shadow.wgsl,,,6398000.0,ns,12
Parsing,Parser v2,shadow.wgsl,,,7869500.0,ns,15
Parsing,Parser v2,shadow.wgsl,,,9375900.0,ns,18
Parsing,Parser v2,shadow.wgsl,,,10999900.0,ns,21
Parsing,Parser v2,shadow.wgsl,,,12693000.0,ns,24
Parsing,Parser v2,shadow.wgsl,,,14034000.0,ns,27
Parsing,Parser v2,shadow.wgsl,,,15560700.0,ns,30
Parsing,Parser v2,shadow.wgsl,,,15526900.0,ns,33
Parsing,Parser v2,shadow.wgsl,,,14143700.0,ns,36
Parsing,Parser v2,shadow.wgsl,,,15102200.0,ns,39
Parsing,Parser v2,shadow.wgsl,,,16397100.0,ns,42
Parsing,Parser v2,shadow.wgsl,,,17972800.0,ns,45
Parsing,Parser v2,shadow.wgsl,,,18222900.0,ns,48
Parsing,Parser v2,shadow.wgsl,,,19451600.0,ns,51
Parsing,Parser v2,shadow.wgsl,,,20560900.0,ns,54
Parsing,Parser v2,shadow.wgsl,,,21549400.0,ns,57
Parsing,Parser v2,shadow.wgsl,,,22698400.0,ns,60
Parsing,Parser v2,shadow.wgsl,,,24062200.0,ns,63
Parsing,Parser v2,shadow.wgsl,,,24824000.0,ns,66
Parsing,Parser v2,shadow.wgsl,,,26599000.0,ns,69
Parsing,Parser v2,shadow.wgsl,,,27550700.0,ns,72
Parsing,Parser v2,shadow.wgsl,,,28300400.0,ns,75
Parsing,Parser v2,shadow.wgsl,,,29528100.0,ns,78
Parsing,Parser v2,shadow.wgsl,,,30490100.0,ns,81
Parsing,Parser v2,shadow.wgsl,,,31774700.0,ns,84
Parsing,Parser v2,shadow.wgsl,,,32893200.0,ns,87
Parsing,Parser v2,shadow.wgsl,,,34018400.0,ns,90
Parsing,Parser v2,shadow.wgsl,,,34932000.0,ns,93
Parsing,Parser v2,shadow.wgsl,,,36596500.0,ns,96
Parsing,Parser v2,shadow.wgsl,,,37640900.0,ns,99
Parsing,Parser v2,shadow.wgsl,,,39080900.0,ns,102
Parsing,Parser v2,shadow.wgsl,,,39955400.0,ns,105
Parsing,Parser v2,shadow.wgsl,,,40967500.0,ns,108
Parsing,Parser v2,shadow.wgsl,,,41947900.0,ns,111
Parsing,Parser v2,shadow.wgsl,,,43027400.0,ns,114
Parsing,Parser v2,shadow.wgsl,,,44151200.0,ns,117
Parsing,Parser v2,shadow.wgsl,,,46069100.0,ns,120
