group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parsing,Parser v2,water.wgsl,,,1509000.0,ns,1
Parsing,Parser v2,water.wgsl,,,2470200.0,ns,2
Parsing,Parser v2,water.wgsl,,,3685600.0,ns,3
Parsing,Parser v2,water.wgsl,,,4928700.0,ns,4
Parsing,Parser v2,water.wgsl,,,6141000.0,ns,5
Parsing,Parser v2,water.wgsl,,,7358300.0,ns,6
Parsing,Parser v2,water.wgsl,,,8513700.0,ns,7
Parsing,Parser v2,water.wgsl,,,9849400.0,ns,8
Parsing,Parser v2,water.wgsl,,,11123900.0,ns,9
Parsing,Parser v2,water.wgsl,,,12268100.0,ns,10
Parsing,Parser v2,water.wgsl,,,18743400.0,ns,11
Parsing,Parser v2,water.wgsl,,,15584900.0,ns,12
Parsing,Parser v2,water.wgsl,,,16593100.0,ns,13
Parsing,Parser v2,water.wgsl,,,17980200.0,ns,14
Parsing,Parser v2,water.wgsl,,,19282900.0,ns,15
Parsing,Parser v2,water.wgsl,,,20495500.0,ns,16
Parsing,Parser v2,water.wgsl,,,22863800.0,ns,17
Parsing,Parser v2,water.wgsl,,,37131400.0,ns,18
Parsing,Parser v2,water.wgsl,,,25050800.0,ns,19
Parsing,Parser v2,water.wgsl,,,25193100.0,ns,20
Parsing,Parser v2,water.wgsl,,,26223500.0,ns,21
Parsing,Parser v2,water.wgsl,,,27123900.0,ns,22
Parsing,Parser v2,water.wgsl,,,28123900.0,ns,23
Parsing,Parser v2,water.wgsl,,,29455300.0,ns,24
Parsing,Parser v2,water.wgsl,,,30586400.0,ns,25
Parsing,Parser v2,water.wgsl,,,32801300.0,ns,26
Parsing,Parser v2,water.wgsl,,,33307800.0,ns,27
Parsing,Parser v2,water.wgsl,,,34598700.0,ns,28
Parsing,Parser v2,water.wgsl,,,35663800.0,ns,29
Parsing,Parser v2,water.wgsl,,,37024300.0,ns,30
Parsing,Parser v2,water.wgsl,,,38885000.0,ns,31
Parsing,Parser v2,water.wgsl,,,39296600.0,ns,32
Parsing,Parser v2,water.wgsl,,,41188200.0,ns,33
Parsing,Parser v2,water.wgsl,,,41610300.0,ns,34
Parsing,Parser v2,water.wgsl,,,43199900.0,ns,35
Parsing,Parser v2,water.wgsl,,,44432800.0,ns,36
Parsing,Parser v2,water.wgsl,,,45531300.0,ns,37
Parsing,Parser v2,water.wgsl,,,47105300.0,ns,38
Parsing,Parser v2,water.wgsl,,,48665100.0,ns,39
Parsing,Parser v2,water.wgsl,,,50610000.0,ns,40
Parsing,Parser v2,water.wgsl,,,54971400.0,ns,41
Parsing,Parser v2,water.wgsl,,,51257100.0,ns,42
Parsing,Parser v2,water.wgsl,,,53074900.0,ns,43
Parsing,Parser v2,water.wgsl,,,54050700.0,ns,44
Parsing,Parser v2,water.wgsl,,,55073800.0,ns,45
Parsing,Parser v2,water.wgsl,,,56274400.0,ns,46
Parsing,Parser v2,water.wgsl,,,62299200.0,ns,47
Parsing,Parser v2,water.wgsl,,,61542300.0,ns,48
Parsing,Parser v2,water.wgsl,,,69788300.0,ns,49
Parsing,Parser v2,water.wgsl,,,76121600.0,ns,50
Parsing,Parser v2,water.wgsl,,,75112100.0,ns,51
Parsing,Parser v2,water.wgsl,,,81942700.0,ns,52
Parsing,Parser v2,water.wgsl,,,73661200.0,ns,53
Parsing,Parser v2,water.wgsl,,,77047600.0,ns,54
Parsing,Parser v2,water.wgsl,,,75584600.0,ns,55
Parsing,Parser v2,water.wgsl,,,75801500.0,ns,56
Parsing,Parser v2,water.wgsl,,,86747200.0,ns,57
Parsing,Parser v2,water.wgsl,,,72561100.0,ns,58
Parsing,Parser v2,water.wgsl,,,73349700.0,ns,59
Parsing,Parser v2,water.wgsl,,,74362500.0,ns,60
Parsing,Parser v2,water.wgsl,,,75827200.0,ns,61
Parsing,Parser v2,water.wgsl,,,76527500.0,ns,62
Parsing,Parser v2,water.wgsl,,,91895200.0,ns,63
Parsing,Parser v2,water.wgsl,,,80470200.0,ns,64
Parsing,Parser v2,water.wgsl,,,83095500.0,ns,65
Parsing,Parser v2,water.wgsl,,,83472800.0,ns,66
Parsing,Parser v2,water.wgsl,,,82054900.0,ns,67
Parsing,Parser v2,water.wgsl,,,84183400.0,ns,68
Parsing,Parser v2,water.wgsl,,,86517600.0,ns,69
Parsing,Parser v2,water.wgsl,,,87229100.0,ns,70
Parsing,Parser v2,water.wgsl,,,88894600.0,ns,71
Parsing,Parser v2,water.wgsl,,,88998500.0,ns,72
Parsing,Parser v2,water.wgsl,,,90470100.0,ns,73
Parsing,Parser v2,water.wgsl,,,91929000.0,ns,74
Parsing,Parser v2,water.wgsl,,,100176900.0,ns,75
Parsing,Parser v2,water.wgsl,,,101599800.0,ns,76
Parsing,Parser v2,water.wgsl,,,115977600.0,ns,77
Parsing,Parser v2,water.wgsl,,,140268800.0,ns,78
Parsing,Parser v2,water.wgsl,,,118493700.0,ns,79
Parsing,Parser v2,water.wgsl,,,107964300.0,ns,80
Parsing,Parser v2,water.wgsl,,,107381600.0,ns,81
Parsing,Parser v2,water.wgsl,,,109248700.0,ns,82
Parsing,Parser v2,water.wgsl,,,111397200.0,ns,83
Parsing,Parser v2,water.wgsl,,,106439800.0,ns,84
Parsing,Parser v2,water.wgsl,,,107778000.0,ns,85
Parsing,Parser v2,water.wgsl,,,111853200.0,ns,86
Parsing,Parser v2,water.wgsl,,,129657500.0,ns,87
Parsing,Parser v2,water.wgsl,,,110668100.0,ns,88
Parsing,Parser v2,water.wgsl,,,110760200.0,ns,89
Parsing,Parser v2,water.wgsl,,,112590800.0,ns,90
Parsing,Parser v2,water.wgsl,,,114371800.0,ns,91
Parsing,Parser v2,water.wgsl,,,119428600.0,ns,92
Parsing,Parser v2,water.wgsl,,,115664100.0,ns,93
Parsing,Parser v2,water.wgsl,,,120420300.0,ns,94
Parsing,Parser v2,water.wgsl,,,126623400.0,ns,95
Parsing,Parser v2,water.wgsl,,,128035000.0,ns,96
Parsing,Parser v2,water.wgsl,,,141102900.0,ns,97
Parsing,Parser v2,water.wgsl,,,151089200.0,ns,98
Parsing,Parser v2,water.wgsl,,,139888200.0,ns,99
Parsing,Parser v2,water.wgsl,,,136463700.0,ns,100
