group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Scopes,Scopes,boids.wgsl,,,494300.0,ns,5
Scopes,Scopes,boids.wgsl,,,384900.0,ns,10
Scopes,Scopes,boids.wgsl,,,631800.0,ns,15
Scopes,Scopes,boids.wgsl,,,692500.0,ns,20
Scopes,Scopes,boids.wgsl,,,924400.0,ns,25
Scopes,Scopes,boids.wgsl,,,1000700.0,ns,30
Scopes,Scopes,boids.wgsl,,,1360900.0,ns,35
Scopes,Scopes,boids.wgsl,,,1392100.0,ns,40
Scopes,Scopes,boids.wgsl,,,1667500.0,ns,45
Scopes,Scopes,boids.wgsl,,,1698900.0,ns,50
Scopes,Scopes,boids.wgsl,,,1906800.0,ns,55
Scopes,Scopes,boids.wgsl,,,1993700.0,ns,60
Scopes,Scopes,boids.wgsl,,,2567700.0,ns,65
Scopes,Scopes,boids.wgsl,,,3330800.0,ns,70
Scopes,Scopes,boids.wgsl,,,3823100.0,ns,75
Scopes,Scopes,boids.wgsl,,,3922700.0,ns,80
Scopes,Scopes,boids.wgsl,,,4192500.0,ns,85
Scopes,Scopes,boids.wgsl,,,4651700.0,ns,90
Scopes,Scopes,boids.wgsl,,,4916000.0,ns,95
Scopes,Scopes,boids.wgsl,,,5186600.0,ns,100
Scopes,Scopes,boids.wgsl,,,5422500.0,ns,105
Scopes,Scopes,boids.wgsl,,,5489600.0,ns,110
Scopes,Scopes,boids.wgsl,,,6549400.0,ns,115
Scopes,Scopes,boids.wgsl,,,5705600.0,ns,120
Scopes,Scopes,boids.wgsl,,,5796300.0,ns,125
Scopes,Scopes,boids.wgsl,,,5966100.0,ns,130
Scopes,Scopes,boids.wgsl,,,6456200.0,ns,135
Scopes,Scopes,boids.wgsl,,,6770900.0,ns,140
Scopes,Scopes,boids.wgsl,,,7999600.0,ns,145
Scopes,Scopes,boids.wgsl,,,13560500.0,ns,150
Scopes,Scopes,boids.wgsl,,,10854200.0,ns,155
Scopes,Scopes,boids.wgsl,,,11128800.0,ns,160
Scopes,Scopes,boids.wgsl,,,15567300.0,ns,165
Scopes,Scopes,boids.wgsl,,,10564800.0,ns,170
Scopes,Scopes,boids.wgsl,,,10052700.0,ns,175
Scopes,Scopes,boids.wgsl,,,10581300.0,ns,180
Scopes,Scopes,boids.wgsl,,,10877800.0,ns,185
Scopes,Scopes,boids.wgsl,,,11004100.0,ns,190
Scopes,Scopes,boids.wgsl,,,10876000.0,ns,195
Scopes,Scopes,boids.wgsl,,,11641300.0,ns,200
Scopes,Scopes,boids.wgsl,,,11696900.0,ns,205
Scopes,Scopes,boids.wgsl,,,12736400.0,ns,210
Scopes,Scopes,boids.wgsl,,,12409200.0,ns,215
Scopes,Scopes,boids.wgsl,,,12755900.0,ns,220
Scopes,Scopes,boids.wgsl,,,11483400.0,ns,225
Scopes,Scopes,boids.wgsl,,,11877100.0,ns,230
Scopes,Scopes,boids.wgsl,,,11294900.0,ns,235
Scopes,Scopes,boids.wgsl,,,11526700.0,ns,240
Scopes,Scopes,boids.wgsl,,,15523400.0,ns,245
Scopes,Scopes,boids.wgsl,,,13720900.0,ns,250
Scopes,Scopes,boids.wgsl,,,12808700.0,ns,255
Scopes,Scopes,boids.wgsl,,,12806200.0,ns,260
Scopes,Scopes,boids.wgsl,,,10202900.0,ns,265
Scopes,Scopes,boids.wgsl,,,9949800.0,ns,270
Scopes,Scopes,boids.wgsl,,,9878000.0,ns,275
Scopes,Scopes,boids.wgsl,,,10389700.0,ns,280
Scopes,Scopes,boids.wgsl,,,11257000.0,ns,285
Scopes,Scopes,boids.wgsl,,,10703700.0,ns,290
Scopes,Scopes,boids.wgsl,,,10569100.0,ns,295
Scopes,Scopes,boids.wgsl,,,10643400.0,ns,300
Scopes,Scopes,boids.wgsl,,,10991000.0,ns,305
Scopes,Scopes,boids.wgsl,,,11116600.0,ns,310
Scopes,Scopes,boids.wgsl,,,11349000.0,ns,315
Scopes,Scopes,boids.wgsl,,,11427300.0,ns,320
Scopes,Scopes,boids.wgsl,,,11639500.0,ns,325
Scopes,Scopes,boids.wgsl,,,11608300.0,ns,330
Scopes,Scopes,boids.wgsl,,,12135100.0,ns,335
Scopes,Scopes,boids.wgsl,,,24088600.0,ns,340
Scopes,Scopes,boids.wgsl,,,19842300.0,ns,345
Scopes,Scopes,boids.wgsl,,,23631700.0,ns,350
Scopes,Scopes,boids.wgsl,,,19000200.0,ns,355
Scopes,Scopes,boids.wgsl,,,20860000.0,ns,360
Scopes,Scopes,boids.wgsl,,,18533900.0,ns,365
Scopes,Scopes,boids.wgsl,,,17981000.0,ns,370
Scopes,Scopes,boids.wgsl,,,17955900.0,ns,375
Scopes,Scopes,boids.wgsl,,,17196100.0,ns,380
Scopes,Scopes,boids.wgsl,,,17489400.0,ns,385
Scopes,Scopes,boids.wgsl,,,16530000.0,ns,390
Scopes,Scopes,boids.wgsl,,,16331100.0,ns,395
Scopes,Scopes,boids.wgsl,,,16901400.0,ns,400
Scopes,Scopes,boids.wgsl,,,19042400.0,ns,405
Scopes,Scopes,boids.wgsl,,,24381000.0,ns,410
Scopes,Scopes,boids.wgsl,,,26714400.0,ns,415
Scopes,Scopes,boids.wgsl,,,34776800.0,ns,420
Scopes,Scopes,boids.wgsl,,,23023100.0,ns,425
Scopes,Scopes,boids.wgsl,,,20759400.0,ns,430
Scopes,Scopes,boids.wgsl,,,23107600.0,ns,435
Scopes,Scopes,boids.wgsl,,,28915700.0,ns,440
Scopes,Scopes,boids.wgsl,,,24875400.0,ns,445
Scopes,Scopes,boids.wgsl,,,19268800.0,ns,450
Scopes,Scopes,boids.wgsl,,,19537200.0,ns,455
Scopes,Scopes,boids.wgsl,,,20804700.0,ns,460
Scopes,Scopes,boids.wgsl,,,24042500.0,ns,465
Scopes,Scopes,boids.wgsl,,,26124800.0,ns,470
Scopes,Scopes,boids.wgsl,,,37118100.0,ns,475
Scopes,Scopes,boids.wgsl,,,26814300.0,ns,480
Scopes,Scopes,boids.wgsl,,,24274900.0,ns,485
Scopes,Scopes,boids.wgsl,,,27748700.0,ns,490
Scopes,Scopes,boids.wgsl,,,33588900.0,ns,495
Scopes,Scopes,boids.wgsl,,,43191700.0,ns,500
