group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Scopes,Scopes,shader.wgsl,,,402000.0,ns,7
Scopes,Scopes,shader.wgsl,,,560900.0,ns,14
Scopes,Scopes,shader.wgsl,,,695600.0,ns,21
Scopes,Scopes,shader.wgsl,,,793400.0,ns,28
Scopes,Scopes,shader.wgsl,,,1094200.0,ns,35
Scopes,Scopes,shader.wgsl,,,1321900.0,ns,42
Scopes,Scopes,shader.wgsl,,,1315000.0,ns,49
Scopes,Scopes,shader.wgsl,,,1556300.0,ns,56
Scopes,Scopes,shader.wgsl,,,1787000.0,ns,63
Scopes,Scopes,shader.wgsl,,,1922400.0,ns,70
Scopes,Scopes,shader.wgsl,,,2170200.0,ns,77
Scopes,Scopes,shader.wgsl,,,2605200.0,ns,84
Scopes,Scopes,shader.wgsl,,,2721300.0,ns,91
Scopes,Scopes,shader.wgsl,,,2700100.0,ns,98
Scopes,Scopes,shader.wgsl,,,2898700.0,ns,105
Scopes,Scopes,shader.wgsl,,,3131100.0,ns,112
Scopes,Scopes,shader.wgsl,,,3240500.0,ns,119
Scopes,Scopes,shader.wgsl,,,3480900.0,ns,126
Scopes,Scopes,shader.wgsl,,,3676800.0,ns,133
Scopes,Scopes,shader.wgsl,,,3836000.0,ns,140
Scopes,Scopes,shader.wgsl,,,4098600.0,ns,147
Scopes,Scopes,shader.wgsl,,,4309400.0,ns,154
Scopes,Scopes,shader.wgsl,,,4470300.0,ns,161
Scopes,Scopes,shader.wgsl,,,4723900.0,ns,168
Scopes,Scopes,shader.wgsl,,,4917800.0,ns,175
Scopes,Scopes,shader.wgsl,,,5083200.0,ns,182
Scopes,Scopes,shader.wgsl,,,5259000.0,ns,189
Scopes,Scopes,shader.wgsl,,,6370400.0,ns,196
Scopes,Scopes,shader.wgsl,,,7030300.0,ns,203
Scopes,Scopes,shader.wgsl,,,7317700.0,ns,210
Scopes,Scopes,shader.wgsl,,,7892100.0,ns,217
Scopes,Scopes,shader.wgsl,,,10194300.0,ns,224
Scopes,Scopes,shader.wgsl,,,8583800.0,ns,231
Scopes,Scopes,shader.wgsl,,,12123500.0,ns,238
Scopes,Scopes,shader.wgsl,,,9588000.0,ns,245
Scopes,Scopes,shader.wgsl,,,9128500.0,ns,252
Scopes,Scopes,shader.wgsl,,,9116300.0,ns,259
Scopes,Scopes,shader.wgsl,,,13483800.0,ns,266
