group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Scopes,Scopes,shadow.wgsl,,,504500.0,ns,5
Scopes,Scopes,shadow.wgsl,,,449000.0,ns,10
Scopes,Scopes,shadow.wgsl,,,750500.0,ns,15
Scopes,Scopes,shadow.wgsl,,,831400.0,ns,20
Scopes,Scopes,shadow.wgsl,,,1155700.0,ns,25
Scopes,Scopes,shadow.wgsl,,,1242700.0,ns,30
Scopes,Scopes,shadow.wgsl,,,2340300.0,ns,35
Scopes,Scopes,shadow.wgsl,,,1703600.0,ns,40
Scopes,Scopes,shadow.wgsl,,,2144100.0,ns,45
Scopes,Scopes,shadow.wgsl,,,2477800.0,ns,50
Scopes,Scopes,shadow.wgsl,,,2326700.0,ns,55
Scopes,Scopes,shadow.wgsl,,,2487100.0,ns,60
Scopes,Scopes,shadow.wgsl,,,2750900.0,ns,65
Scopes,Scopes,shadow.wgsl,,,3327200.0,ns,70
Scopes,Scopes,shadow.wgsl,,,4123200.0,ns,75
Scopes,Scopes,shadow.wgsl,,,6550300.0,ns,80
Scopes,Scopes,shadow.wgsl,,,3674500.0,ns,85
Scopes,Scopes,shadow.wgsl,,,4542300.0,ns,90
Scopes,Scopes,shadow.wgsl,,,4898800.0,ns,95
Scopes,Scopes,shadow.wgsl,,,6249800.0,ns,100
Scopes,Scopes,shadow.wgsl,,,6347700.0,ns,105
Scopes,Scopes,shadow.wgsl,,,6507000.0,ns,110
Scopes,Scopes,shadow.wgsl,,,6766400.0,ns,115
Scopes,Scopes,shadow.wgsl,,,4104700.0,ns,120
Scopes,Scopes,shadow.wgsl,,,7174400.0,ns,125
Scopes,Scopes,shadow.wgsl,,,6022500.0,ns,130
Scopes,Scopes,shadow.wgsl,,,6294500.0,ns,135
Scopes,Scopes,shadow.wgsl,,,7917200.0,ns,140
Scopes,Scopes,shadow.wgsl,,,5609900.0,ns,145
Scopes,Scopes,shadow.wgsl,,,9105000.0,ns,150
Scopes,Scopes,shadow.wgsl,,,6058000.0,ns,155
Scopes,Scopes,shadow.wgsl,,,7364400.0,ns,160
Scopes,Scopes,shadow.wgsl,,,5857100.0,ns,165
Scopes,Scopes,shadow.wgsl,,,5191000.0,ns,170
Scopes,Scopes,shadow.wgsl,,,6934300.0,ns,175
Scopes,Scopes,shadow.wgsl,,,7128300.0,ns,180
Scopes,Scopes,shadow.wgsl,,,6629500.0,ns,185
Scopes,Scopes,shadow.wgsl,,,6516400.0,ns,190
Scopes,Scopes,shadow.wgsl,,,9869400.0,ns,195
Scopes,Scopes,shadow.wgsl,,,6340100.0,ns,200
Scopes,Scopes,shadow.wgsl,,,8366000.0,ns,205
Scopes,Scopes,shadow.wgsl,,,6509500.0,ns,210
Scopes,Scopes,shadow.wgsl,,,9708600.0,ns,215
Scopes,Scopes,shadow.wgsl,,,8101100.0,ns,220
Scopes,Scopes,shadow.wgsl,,,10341700.0,ns,225
Scopes,Scopes,shadow.wgsl,,,11775200.0,ns,230
Scopes,Scopes,shadow.wgsl,,,13660100.0,ns,235
Scopes,Scopes,shadow.wgsl,,,14841200.0,ns,240
Scopes,Scopes,shadow.wgsl,,,9352500.0,ns,245
Scopes,Scopes,shadow.wgsl,,,10058600.0,ns,250
Scopes,Scopes,shadow.wgsl,,,12037300.0,ns,255
Scopes,Scopes,shadow.wgsl,,,12205500.0,ns,260
Scopes,Scopes,shadow.wgsl,,,12612500.0,ns,265
Scopes,Scopes,shadow.wgsl,,,10821800.0,ns,270
Scopes,Scopes,shadow.wgsl,,,10903500.0,ns,275
Scopes,Scopes,shadow.wgsl,,,11238700.0,ns,280
Scopes,Scopes,shadow.wgsl,,,11013300.0,ns,285
Scopes,Scopes,shadow.wgsl,,,15044200.0,ns,290
Scopes,Scopes,shadow.wgsl,,,10972300.0,ns,295
Scopes,Scopes,shadow.wgsl,,,11676700.0,ns,300
Scopes,Scopes,shadow.wgsl,,,11527900.0,ns,305
Scopes,Scopes,shadow.wgsl,,,12460700.0,ns,310
Scopes,Scopes,shadow.wgsl,,,12171600.0,ns,315
Scopes,Scopes,shadow.wgsl,,,20271000.0,ns,320
Scopes,Scopes,shadow.wgsl,,,12963900.0,ns,325
Scopes,Scopes,shadow.wgsl,,,12175500.0,ns,330
Scopes,Scopes,shadow.wgsl,,,12369600.0,ns,335
Scopes,Scopes,shadow.wgsl,,,12442200.0,ns,340
Scopes,Scopes,shadow.wgsl,,,15419000.0,ns,345
