group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Scopes,Scopes,water.wgsl,,,1368900.0,ns,2
Scopes,Scopes,water.wgsl,,,1681700.0,ns,4
Scopes,Scopes,water.wgsl,,,1890200.0,ns,6
Scopes,Scopes,water.wgsl,,,2217800.0,ns,8
Scopes,Scopes,water.wgsl,,,2431300.0,ns,10
Scopes,Scopes,water.wgsl,,,4144500.0,ns,12
Scopes,Scopes,water.wgsl,,,4207000.0,ns,14
Scopes,Scopes,water.wgsl,,,4410100.0,ns,16
Scopes,Scopes,water.wgsl,,,4783100.0,ns,18
Scopes,Scopes,water.wgsl,,,4552300.0,ns,20
Scopes,Scopes,water.wgsl,,,3900000.0,ns,22
Scopes,Scopes,water.wgsl,,,3988300.0,ns,24
Scopes,Scopes,water.wgsl,,,4331100.0,ns,26
Scopes,Scopes,water.wgsl,,,4630800.0,ns,28
Scopes,Scopes,water.wgsl,,,4989700.0,ns,30
Scopes,Scopes,water.wgsl,,,5912300.0,ns,32
Scopes,Scopes,water.wgsl,,,5793400.0,ns,34
Scopes,Scopes,water.wgsl,,,6050400.0,ns,36
Scopes,Scopes,water.wgsl,,,7153000.0,ns,38
Scopes,Scopes,water.wgsl,,,12122100.0,ns,40
Scopes,Scopes,water.wgsl,,,11577500.0,ns,42
Scopes,Scopes,water.wgsl,,,8316800.0,ns,44
Scopes,Scopes,water.wgsl,,,7828000.0,ns,46
Scopes,Scopes,water.wgsl,,,8181600.0,ns,48
Scopes,Scopes,water.wgsl,,,8526900.0,ns,50
Scopes,Scopes,water.wgsl,,,9460600.0,ns,52
Scopes,Scopes,water.wgsl,,,9667200.0,ns,54
Scopes,Scopes,water.wgsl,,,12576400.0,ns,56
Scopes,Scopes,water.wgsl,,,9323100.0,ns,58
Scopes,Scopes,water.wgsl,,,9803200.0,ns,60
Scopes,Scopes,water.wgsl,,,10206800.0,ns,62
Scopes,Scopes,water.wgsl,,,10424200.0,ns,64
Scopes,Scopes,water.wgsl,,,10602100.0,ns,66
Scopes,Scopes,water.wgsl,,,10874900.0,ns,68
Scopes,Scopes,water.wgsl,,,11182300.0,ns,70
Scopes,Scopes,water.wgsl,,,12018100.0,ns,72
Scopes,Scopes,water.wgsl,,,12152500.0,ns,74
Scopes,Scopes,water.wgsl,,,12217500.0,ns,76
Scopes,Scopes,water.wgsl,,,12541200.0,ns,78
Scopes,Scopes,water.wgsl,,,14192300.0,ns,80
Scopes,Scopes,water.wgsl,,,15224900.0,ns,82
Scopes,Scopes,water.wgsl,,,16322100.0,ns,84
Scopes,Scopes,water.wgsl,,,15899500.0,ns,86
Scopes,Scopes,water.wgsl,,,16594700.0,ns,88
Scopes,Scopes,water.wgsl,,,15753500.0,ns,90
Scopes,Scopes,water.wgsl,,,16357800.0,ns,92
Scopes,Scopes,water.wgsl,,,16873100.0,ns,94
Scopes,Scopes,water.wgsl,,,16628100.0,ns,96
Scopes,Scopes,water.wgsl,,,16749900.0,ns,98
Scopes,Scopes,water.wgsl,,,17185800.0,ns,100
Scopes,Scopes,water.wgsl,,,18463300.0,ns,102
Scopes,Scopes,water.wgsl,,,18582000.0,ns,104
Scopes,Scopes,water.wgsl,,,19014200.0,ns,106
