group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Visitor,Traversal,boids.wgsl,,,11400.0,ns,2
Visitor,Traversal,boids.wgsl,,,14800.0,ns,4
Visitor,Traversal,boids.wgsl,,,19700.0,ns,6
Visitor,Traversal,boids.wgsl,,,30900.0,ns,8
Visitor,Traversal,boids.wgsl,,,34400.0,ns,10
Visitor,Traversal,boids.wgsl,,,55600.0,ns,12
Visitor,Traversal,boids.wgsl,,,50400.0,ns,14
Visitor,Traversal,boids.wgsl,,,56700.0,ns,16
Visitor,Traversal,boids.wgsl,,,63500.0,ns,18
Visitor,Traversal,boids.wgsl,,,72100.0,ns,20
Visitor,Traversal,boids.wgsl,,,79800.0,ns,22
Visitor,Traversal,boids.wgsl,,,85000.0,ns,24
Visitor,Traversal,boids.wgsl,,,92500.0,ns,26
Visitor,Traversal,boids.wgsl,,,98800.0,ns,28
Visitor,Traversal,boids.wgsl,,,108800.0,ns,30
Visitor,Traversal,boids.wgsl,,,122500.0,ns,32
Visitor,Traversal,boids.wgsl,,,124700.0,ns,34
Visitor,Traversal,boids.wgsl,,,133200.0,ns,36
Visitor,Traversal,boids.wgsl,,,135700.0,ns,38
Visitor,Traversal,boids.wgsl,,,145000.0,ns,40
Visitor,Traversal,boids.wgsl,,,160300.0,ns,42
Visitor,Traversal,boids.wgsl,,,158600.0,ns,44
Visitor,Traversal,boids.wgsl,,,162500.0,ns,46
Visitor,Traversal,boids.wgsl,,,176500.0,ns,48
Visitor,Traversal,boids.wgsl,,,179300.0,ns,50
Visitor,Traversal,boids.wgsl,,,188000.0,ns,52
Visitor,Traversal,boids.wgsl,,,200600.0,ns,54
Visitor,Traversal,boids.wgsl,,,206400.0,ns,56
Visitor,Traversal,boids.wgsl,,,215700.0,ns,58
Visitor,Traversal,boids.wgsl,,,230800.0,ns,60
Visitor,Traversal,boids.wgsl,,,228700.0,ns,62
Visitor,Traversal,boids.wgsl,,,231600.0,ns,64
Visitor,Traversal,boids.wgsl,,,247400.0,ns,66
Visitor,Traversal,boids.wgsl,,,239000.0,ns,68
Visitor,Traversal,boids.wgsl,,,295800.0,ns,70
Visitor,Traversal,boids.wgsl,,,308900.0,ns,72
Visitor,Traversal,boids.wgsl,,,272300.0,ns,74
Visitor,Traversal,boids.wgsl,,,315900.0,ns,76
Visitor,Traversal,boids.wgsl,,,299800.0,ns,78
Visitor,Traversal,boids.wgsl,,,299200.0,ns,80
Visitor,Traversal,boids.wgsl,,,431000.0,ns,82
Visitor,Traversal,boids.wgsl,,,1173900.0,ns,84
Visitor,Traversal,boids.wgsl,,,1094900.0,ns,86
Visitor,Traversal,boids.wgsl,,,477100.0,ns,88
Visitor,Traversal,boids.wgsl,,,441900.0,ns,90
Visitor,Traversal,boids.wgsl,,,535500.0,ns,92
Visitor,Traversal,boids.wgsl,,,608800.0,ns,94
Visitor,Traversal,boids.wgsl,,,486800.0,ns,96
Visitor,Traversal,boids.wgsl,,,375300.0,ns,98
Visitor,Traversal,boids.wgsl,,,379500.0,ns,100
Visitor,Traversal,boids.wgsl,,,455100.0,ns,102
Visitor,Traversal,boids.wgsl,,,508600.0,ns,104
Visitor,Traversal,boids.wgsl,,,388900.0,ns,106
Visitor,Traversal,boids.wgsl,,,379900.0,ns,108
Visitor,Traversal,boids.wgsl,,,430800.0,ns,110
Visitor,Traversal,boids.wgsl,,,425000.0,ns,112
Visitor,Traversal,boids.wgsl,,,431800.0,ns,114
Visitor,Traversal,boids.wgsl,,,418900.0,ns,116
Visitor,Traversal,boids.wgsl,,,426000.0,ns,118
Visitor,Traversal,boids.wgsl,,,426700.0,ns,120
Visitor,Traversal,boids.wgsl,,,440900.0,ns,122
Visitor,Traversal,boids.wgsl,,,1009900.0,ns,124
Visitor,Traversal,boids.wgsl,,,458400.0,ns,126
Visitor,Traversal,boids.wgsl,,,482200.0,ns,128
Visitor,Traversal,boids.wgsl,,,473900.0,ns,130
Visitor,Traversal,boids.wgsl,,,503300.0,ns,132
Visitor,Traversal,boids.wgsl,,,488900.0,ns,134
Visitor,Traversal,boids.wgsl,,,500800.0,ns,136
