group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Visitor,Traversal,shader.wgsl,,,10900.0,ns,3
Visitor,Traversal,shader.wgsl,,,11900.0,ns,6
Visitor,Traversal,shader.wgsl,,,15600.0,ns,9
Visitor,Traversal,shader.wgsl,,,25400.0,ns,12
Visitor,Traversal,shader.wgsl,,,26900.0,ns,15
Visitor,Traversal,shader.wgsl,,,33200.0,ns,18
Visitor,Traversal,shader.wgsl,,,42300.0,ns,21
Visitor,Traversal,shader.wgsl,,,44900.0,ns,24
Visitor,Traversal,shader.wgsl,,,48800.0,ns,27
Visitor,Traversal,shader.wgsl,,,55900.0,ns,30
Visitor,Traversal,shader.wgsl,,,73500.0,ns,33
Visitor,Traversal,shader.wgsl,,,66500.0,ns,36
Visitor,Traversal,shader.wgsl,,,71900.0,ns,39
Visitor,Traversal,shader.wgsl,,,91000.0,ns,42
Visitor,Traversal,shader.wgsl,,,82800.0,ns,45
Visitor,Traversal,shader.wgsl,,,89000.0,ns,48
Visitor,Traversal,shader.wgsl,,,100300.0,ns,51
Visitor,Traversal,shader.wgsl,,,101700.0,ns,54
Visitor,Traversal,shader.wgsl,,,103700.0,ns,57
Visitor,Traversal,shader.wgsl,,,111700.0,ns,60
Visitor,Traversal,shader.wgsl,,,115500.0,ns,63
Visitor,Traversal,shader.wgsl,,,126000.0,ns,66
Visitor,Traversal,shader.wgsl,,,127500.0,ns,69
Visitor,Traversal,shader.wgsl,,,153700.0,ns,72
Visitor,Traversal,shader.wgsl,,,136800.0,ns,75
Visitor,Traversal,shader.wgsl,,,145800.0,ns,78
Visitor,Traversal,shader.wgsl,,,156400.0,ns,81
Visitor,Traversal,shader.wgsl,,,153000.0,ns,84
Visitor,Traversal,shader.wgsl,,,215500.0,ns,87
Visitor,Traversal,shader.wgsl,,,276600.0,ns,90
Visitor,Traversal,shader.wgsl,,,176700.0,ns,93
Visitor,Traversal,shader.wgsl,,,175600.0,ns,96
Visitor,Traversal,shader.wgsl,,,180600.0,ns,99
Visitor,Traversal,shader.wgsl,,,289300.0,ns,102
Visitor,Traversal,shader.wgsl,,,273400.0,ns,105
Visitor,Traversal,shader.wgsl,,,242700.0,ns,108
Visitor,Traversal,shader.wgsl,,,215300.0,ns,111
Visitor,Traversal,shader.wgsl,,,254100.0,ns,114
Visitor,Traversal,shader.wgsl,,,257400.0,ns,117
Visitor,Traversal,shader.wgsl,,,257300.0,ns,120
Visitor,Traversal,shader.wgsl,,,297900.0,ns,123
Visitor,Traversal,shader.wgsl,,,248900.0,ns,126
Visitor,Traversal,shader.wgsl,,,281700.0,ns,129
Visitor,Traversal,shader.wgsl,,,385300.0,ns,132
Visitor,Traversal,shader.wgsl,,,443100.0,ns,135
Visitor,Traversal,shader.wgsl,,,403300.0,ns,138
Visitor,Traversal,shader.wgsl,,,456000.0,ns,141
Visitor,Traversal,shader.wgsl,,,615000.0,ns,144
Visitor,Traversal,shader.wgsl,,,511900.0,ns,147
Visitor,Traversal,shader.wgsl,,,384200.0,ns,150
Visitor,Traversal,shader.wgsl,,,467200.0,ns,153
Visitor,Traversal,shader.wgsl,,,760900.0,ns,156
Visitor,Traversal,shader.wgsl,,,482100.0,ns,159
Visitor,Traversal,shader.wgsl,,,393000.0,ns,162
Visitor,Traversal,shader.wgsl,,,896900.0,ns,165
Visitor,Traversal,shader.wgsl,,,484700.0,ns,168
Visitor,Traversal,shader.wgsl,,,606300.0,ns,171
Visitor,Traversal,shader.wgsl,,,841800.0,ns,174
Visitor,Traversal,shader.wgsl,,,1156600.0,ns,177
Visitor,Traversal,shader.wgsl,,,598500.0,ns,180
Visitor,Traversal,shader.wgsl,,,523200.0,ns,183
Visitor,Traversal,shader.wgsl,,,360400.0,ns,186
Visitor,Traversal,shader.wgsl,,,423800.0,ns,189
Visitor,Traversal,shader.wgsl,,,376700.0,ns,192
Visitor,Traversal,shader.wgsl,,,459600.0,ns,195
Visitor,Traversal,shader.wgsl,,,412000.0,ns,198
Visitor,Traversal,shader.wgsl,,,410600.0,ns,201
Visitor,Traversal,shader.wgsl,,,403400.0,ns,204
Visitor,Traversal,shader.wgsl,,,414200.0,ns,207
Visitor,Traversal,shader.wgsl,,,601600.0,ns,210
Visitor,Traversal,shader.wgsl,,,470300.0,ns,213
Visitor,Traversal,shader.wgsl,,,471600.0,ns,216
Visitor,Traversal,shader.wgsl,,,428900.0,ns,219
Visitor,Traversal,shader.wgsl,,,438000.0,ns,222
Visitor,Traversal,shader.wgsl,,,674100.0,ns,225
Visitor,Traversal,shader.wgsl,,,607700.0,ns,228
Visitor,Traversal,shader.wgsl,,,729600.0,ns,231
Visitor,Traversal,shader.wgsl,,,527200.0,ns,234
Visitor,Traversal,shader.wgsl,,,470800.0,ns,237
Visitor,Traversal,shader.wgsl,,,589300.0,ns,240
Visitor,Traversal,shader.wgsl,,,1491600.0,ns,243
Visitor,Traversal,shader.wgsl,,,1221200.0,ns,246
Visitor,Traversal,shader.wgsl,,,850000.0,ns,249
Visitor,Traversal,shader.wgsl,,,1096400.0,ns,252
Visitor,Traversal,shader.wgsl,,,1608400.0,ns,255
Visitor,Traversal,shader.wgsl,,,1833600.0,ns,258
Visitor,Traversal,shader.wgsl,,,1259500.0,ns,261
Visitor,Traversal,shader.wgsl,,,1154700.0,ns,264
Visitor,Traversal,shader.wgsl,,,1962700.0,ns,267
Visitor,Traversal,shader.wgsl,,,1264500.0,ns,270
Visitor,Traversal,shader.wgsl,,,1521400.0,ns,273
Visitor,Traversal,shader.wgsl,,,1093700.0,ns,276
Visitor,Traversal,shader.wgsl,,,1156000.0,ns,279
Visitor,Traversal,shader.wgsl,,,846700.0,ns,282
Visitor,Traversal,shader.wgsl,,,784300.0,ns,285
Visitor,Traversal,shader.wgsl,,,612600.0,ns,288
Visitor,Traversal,shader.wgsl,,,1427500.0,ns,291
Visitor,Traversal,shader.wgsl,,,995600.0,ns,294
Visitor,Traversal,shader.wgsl,,,628700.0,ns,297
Visitor,Traversal,shader.wgsl,,,780300.0,ns,300
