group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Visitor,Traversal,shadow.wgsl,,,17100.0,ns,3
Visitor,Traversal,shadow.wgsl,,,17500.0,ns,6
Visitor,Traversal,shadow.wgsl,,,23900.0,ns,9
Visitor,Traversal,shadow.wgsl,,,32200.0,ns,12
Visitor,Traversal,shadow.wgsl,,,40400.0,ns,15
Visitor,Traversal,shadow.wgsl,,,47200.0,ns,18
Visitor,Traversal,shadow.wgsl,,,57800.0,ns,21
Visitor,Traversal,shadow.wgsl,,,71000.0,ns,24
Visitor,Traversal,shadow.wgsl,,,72300.0,ns,27
Visitor,Traversal,shadow.wgsl,,,79400.0,ns,30
Visitor,Traversal,shadow.wgsl,,,88000.0,ns,33
Visitor,Traversal,shadow.wgsl,,,92500.0,ns,36
Visitor,Traversal,shadow.wgsl,,,99100.0,ns,39
Visitor,Traversal,shadow.wgsl,,,107600.0,ns,42
Visitor,Traversal,shadow.wgsl,,,115100.0,ns,45
Visitor,Traversal,shadow.wgsl,,,119500.0,ns,48
Visitor,Traversal,shadow.wgsl,,,139000.0,ns,51
Visitor,Traversal,shadow.wgsl,,,145100.0,ns,54
Visitor,Traversal,shadow.wgsl,,,148100.0,ns,57
Visitor,Traversal,shadow.wgsl,,,157400.0,ns,60
Visitor,Traversal,shadow.wgsl,,,163100.0,ns,63
Visitor,Traversal,shadow.wgsl,,,164100.0,ns,66
Visitor,Traversal,shadow.wgsl,,,174100.0,ns,69
Visitor,Traversal,shadow.wgsl,,,181700.0,ns,72
Visitor,Traversal,shadow.wgsl,,,196900.0,ns,75
Visitor,Traversal,shadow.wgsl,,,196700.0,ns,78
Visitor,Traversal,shadow.wgsl,,,204000.0,ns,81
Visitor,Traversal,shadow.wgsl,,,211300.0,ns,84
Visitor,Traversal,shadow.wgsl,,,220200.0,ns,87
Visitor,Traversal,shadow.wgsl,,,231400.0,ns,90
Visitor,Traversal,shadow.wgsl,,,235000.0,ns,93
Visitor,Traversal,shadow.wgsl,,,244200.0,ns,96
Visitor,Traversal,shadow.wgsl,,,248300.0,ns,99
Visitor,Traversal,shadow.wgsl,,,265800.0,ns,102
Visitor,Traversal,shadow.wgsl,,,267200.0,ns,105
Visitor,Traversal,shadow.wgsl,,,298500.0,ns,108
Visitor,Traversal,shadow.wgsl,,,343000.0,ns,111
Visitor,Traversal,shadow.wgsl,,,318700.0,ns,114
Visitor,Traversal,shadow.wgsl,,,384200.0,ns,117
Visitor,Traversal,shadow.wgsl,,,397500.0,ns,120
Visitor,Traversal,shadow.wgsl,,,357500.0,ns,123
Visitor,Traversal,shadow.wgsl,,,397700.0,ns,126
Visitor,Traversal,shadow.wgsl,,,448100.0,ns,129
Visitor,Traversal,shadow.wgsl,,,468500.0,ns,132
Visitor,Traversal,shadow.wgsl,,,534100.0,ns,135
Visitor,Traversal,shadow.wgsl,,,520400.0,ns,138
Visitor,Traversal,shadow.wgsl,,,443900.0,ns,141
