group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Visitor,Traversal,water.wgsl,,,52800.0,ns,1
Visitor,Traversal,water.wgsl,,,58500.0,ns,2
Visitor,Traversal,water.wgsl,,,59400.0,ns,3
Visitor,Traversal,water.wgsl,,,74600.0,ns,4
Visitor,Traversal,water.wgsl,,,94800.0,ns,5
Visitor,Traversal,water.wgsl,,,103500.0,ns,6
Visitor,Traversal,water.wgsl,,,111200.0,ns,7
Visitor,Traversal,water.wgsl,,,139000.0,ns,8
Visitor,Traversal,water.wgsl,,,146900.0,ns,9
Visitor,Traversal,water.wgsl,,,169600.0,ns,10
Visitor,Traversal,water.wgsl,,,212400.0,ns,11
Visitor,Traversal,water.wgsl,,,201400.0,ns,12
Visitor,Traversal,water.wgsl,,,203000.0,ns,13
Visitor,Traversal,water.wgsl,,,225200.0,ns,14
Visitor,Traversal,water.wgsl,,,225100.0,ns,15
Visitor,Traversal,water.wgsl,,,251300.0,ns,16
Visitor,Traversal,water.wgsl,,,259200.0,ns,17
Visitor,Traversal,water.wgsl,,,275200.0,ns,18
Visitor,Traversal,water.wgsl,,,282500.0,ns,19
Visitor,Traversal,water.wgsl,,,298400.0,ns,20
Visitor,Traversal,water.wgsl,,,343400.0,ns,21
Visitor,Traversal,water.wgsl,,,334100.0,ns,22
Visitor,Traversal,water.wgsl,,,362900.0,ns,23
Visitor,Traversal,water.wgsl,,,391000.0,ns,24
Visitor,Traversal,water.wgsl,,,416800.0,ns,25
Visitor,Traversal,water.wgsl,,,423100.0,ns,26
Visitor,Traversal,water.wgsl,,,446200.0,ns,27
Visitor,Traversal,water.wgsl,,,458300.0,ns,28
Visitor,Traversal,water.wgsl,,,477700.0,ns,29
Visitor,Traversal,water.wgsl,,,481100.0,ns,30
Visitor,Traversal,water.wgsl,,,519700.0,ns,31
Visitor,Traversal,water.wgsl,,,511700.0,ns,32
Visitor,Traversal,water.wgsl,,,515400.0,ns,33
Visitor,Traversal,water.wgsl,,,547400.0,ns,34
Visitor,Traversal,water.wgsl,,,898700.0,ns,35
Visitor,Traversal,water.wgsl,,,962400.0,ns,36
Visitor,Traversal,water.wgsl,,,818400.0,ns,37
Visitor,Traversal,water.wgsl,,,1047400.0,ns,38
Visitor,Traversal,water.wgsl,,,1213700.0,ns,39
Visitor,Traversal,water.wgsl,,,968500.0,ns,40
Visitor,Traversal,water.wgsl,,,1220900.0,ns,41
Visitor,Traversal,water.wgsl,,,1330800.0,ns,42
Visitor,Traversal,water.wgsl,,,1926300.0,ns,43
Visitor,Traversal,water.wgsl,,,1521100.0,ns,44
Visitor,Traversal,water.wgsl,,,1438300.0,ns,45
Visitor,Traversal,water.wgsl,,,1279500.0,ns,46
Visitor,Traversal,water.wgsl,,,1167600.0,ns,47
Visitor,Traversal,water.wgsl,,,808800.0,ns,48
Visitor,Traversal,water.wgsl,,,801200.0,ns,49
Visitor,Traversal,water.wgsl,,,830700.0,ns,50
Visitor,Traversal,water.wgsl,,,887300.0,ns,51
Visitor,Traversal,water.wgsl,,,945600.0,ns,52
Visitor,Traversal,water.wgsl,,,1082500.0,ns,53
